PeakID	Annotation
1-139642	promoter
1-145511	promoter
1-63867	enhancer
1-47517	enhancer
1-37149	promoter
1-120009	promoter
1-62841	enhancer
1-129101	promoter
1-95448	enhancer
1-122234	enhancer
1-82288	promoter
1-22110	enhancer
1-36866	enhancer
1-4341	promoter
1-91940	enhancer
1-119200	promoter
1-145745	promoter
1-101161	promoter
1-23495	promoter
1-2410	promoter
1-119541	promoter
1-75041	promoter
1-33236	enhancer
1-48172	enhancer
1-58670	enhancer
1-6300	promoter
1-42499	enhancer
1-47972	promoter
1-119887	promoter
1-24757	promoter
1-18122	enhancer
1-6841	promoter
1-139672	promoter
1-113320	promoter
1-93136	enhancer
1-148537	promoter
1-136089	enhancer
1-134342	promoter
1-96954	promoter
1-34949	promoter
1-108520	promoter
1-110090	promoter
1-122918	enhancer
1-7856	promoter
1-6881	enhancer
1-111713	enhancer
1-46422	enhancer
1-64754	enhancer
1-12310	enhancer
1-81308	promoter
1-136955	enhancer
1-138547	enhancer
1-139181	promoter
1-63687	promoter
1-80563	promoter
1-132403	enhancer
1-50910	promoter
1-46597	promoter
1-94011	promoter
1-146434	enhancer
1-23103	enhancer
1-23096	promoter
1-34929	promoter
1-52901	promoter
1-19566	promoter
1-86188	enhancer
1-4309	promoter
1-127499	promoter
1-69848	enhancer
1-81281	promoter
1-94209	enhancer
1-66997	enhancer
1-125025	enhancer
1-146391	enhancer
1-72464	promoter
1-39779	promoter
1-7718	promoter
1-43942	enhancer
1-113312	enhancer
1-117371	enhancer
1-132219	enhancer
1-52285	enhancer
1-55490	promoter
1-85284	promoter
1-83733	promoter
1-114842	promoter
1-43033	enhancer
1-82234	promoter
1-27340	enhancer
1-38312	enhancer
1-61126	enhancer
1-99017	promoter
1-59748	promoter
1-106744	promoter
1-5847	promoter
1-143784	enhancer
1-29285	promoter
1-21137	enhancer
1-57752	enhancer
1-26047	enhancer
1-29250	promoter
1-144945	promoter
1-85119	promoter
1-23670	enhancer
1-108076	enhancer
1-147746	enhancer
1-44652	enhancer
1-64072	enhancer
1-97347	promoter
1-69847	enhancer
1-114144	enhancer
