"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0006950","response to stress",0.2452907,27223.84,34380,1.262864,0.3097688,0,0,3269,2814.784,2880,1.023169,0.1781296,0.8810034,0.0001275272,0.0040103701300716
"GO:0008152","metabolic process",0.6502981,72173.98,81105,1.123743,0.7307678,0,0,9664,8321.22,8549,1.027373,0.5287605,0.8846233,3.926354e-22,2.98405473311111e-19
"GO:0009987","cellular process",0.8638668,95877.12,103011,1.074406,0.9281441,0,0,14773,12720.34,12821,1.007913,0.7929861,0.8678671,1.928465e-07,1.30136774025641e-05
"GO:0019222","regulation of metabolic process",0.5035609,55888.21,62660,1.121167,0.5645757,0,0,6340,5459.079,5685,1.041385,0.3516205,0.8966877,4.808363e-25,1.05455414528333e-21
"GO:0031323","regulation of cellular metabolic process",0.4806449,53344.85,59884,1.122583,0.5395635,0,0,5980,5149.099,5368,1.042512,0.3320139,0.8976589,2.200677e-24,3.619838580375e-21
"GO:0043170","macromolecule metabolic process",0.5591263,62055.19,69044,1.112622,0.6220965,0,0,7605,6548.311,6715,1.025455,0.4153266,0.8829717,2.966951e-13,5.34823400123288e-11
"GO:0044237","cellular metabolic process",0.6123062,67957.41,76649,1.127898,0.6906186,0,0,8847,7617.74,7858,1.03154,0.4860218,0.8882107,1.104801e-24,2.07686805128571e-21
"GO:0044238","primary metabolic process",0.6121081,67935.43,76595,1.127468,0.6901321,0,0,8934,7692.651,7889,1.025524,0.4879391,0.8830311,5.026018e-17,1.50312206504545e-14
"GO:0044260","cellular macromolecule metabolic process",0.5221029,57946.12,65016,1.122008,0.5858036,0,0,6978,6008.431,6192,1.030552,0.3829787,0.8873603,2.889862e-16,7.45641059960784e-14
"GO:0044699","single-organism process",0.8143128,90377.32,95806,1.060067,0.863226,0,0,12665,10905.24,10965,1.00548,0.6781915,0.8657718,0.003938813,0.069758869807537
"GO:0044763","single-organism cellular process",0.7081132,78590.65,84977,1.081261,0.7656551,0,0,9965,8580.397,8819,1.027808,0.5454602,0.8849975,4.199222e-24,6.13972914422222e-21
"GO:0050789","regulation of biological process",0.7427169,82431.17,89668,1.087792,0.8079217,0,0,11037,9503.447,9648,1.015211,0.5967343,0.8741506,3.955138e-10,4.00351238015385e-08
"GO:0050794","regulation of cellular process",0.7205936,79975.8,87080,1.088829,0.7846035,0,0,10477,9021.257,9159,1.015269,0.5664894,0.8742006,3.019753e-09,2.72170751554795e-07
"GO:0060255","regulation of macromolecule metabolic process",0.4778432,53033.9,59638,1.124526,0.5373471,0,0,5942,5116.379,5326,1.04097,0.3294161,0.8963312,1.502704e-22,1.412434424e-19
"GO:0065007","biological regulation",0.765679,84979.65,92397,1.087284,0.8325104,0,0,11658,10038.16,10201,1.016222,0.6309377,0.8750214,1.215808e-12,1.9444689653012e-10
"GO:0071704","organic substance metabolic process",0.6372781,70728.95,79350,1.121889,0.714955,0,0,9327,8031.045,8253,1.027637,0.5104527,0.8848504,3.725587e-21,2.22840906059091e-18
"GO:0080090","regulation of primary metabolic process",0.4793338,53199.34,59789,1.123867,0.5387076,0,0,5989,5156.849,5372,1.041721,0.3322613,0.8969778,1.408404e-23,1.8533188236e-20
"GO:0048518","positive regulation of biological process",0.47298,52494.16,58891,1.121858,0.5306165,3.45845952088873e-323,2.52813390976966e-320,5433,4678.103,4899,1.047219,0.3030059,0.9017118,2.465683e-26,6.4891845194e-23
"GO:0006807","nitrogen compound metabolic process",0.4177657,46366.14,52697,1.136541,0.4748076,1.12646967251804e-321,7.80169180034996e-319,5667,4879.59,5011,1.026931,0.3099332,0.8842421,5.200241e-10,5.14511062548872e-08
"GO:0006810","transport",0.3250404,36074.93,42120,1.16757,0.3795073,3.57061242249469e-320,2.34928461630336e-317,4234,3645.7,3821,1.048084,0.236331,0.9024563,3.432493e-20,1.80672701548e-17
"GO:1901360","organic cyclic compound metabolic process",0.3744601,41559.83,47738,1.148657,0.4301263,5.59391998606324e-316,3.50525681412646e-313,4980,4288.046,4402,1.026575,0.2722662,0.8839357,1.824451e-08,1.42904468505952e-06
"GO:0051234","establishment of localization",0.3336991,37035.93,43068,1.162871,0.3880489,3.80938099947601e-315,2.27852929873159e-312,4344,3740.416,3920,1.048012,0.2424542,0.9023941,9.73063e-21,5.33522334041667e-18
"GO:0006996","organelle organization",0.2147065,23829.42,29131,1.222481,0.2624745,3.80428600002245e-313,2.17654780323025e-310,2824,2431.615,2503,1.029357,0.154812,0.8863314,9.605457e-06,0.000437364043816609
"GO:0050896","response to stimulus",0.569614,63219.18,69392,1.097642,0.625232,1.14258799999998e-310,6.26471478833324e-308,7718,6645.61,6678,1.004874,0.4130381,0.8652501,0.08561028,0.58279652070357
"GO:0034641","cellular nitrogen compound metabolic process",0.380459,42225.62,48354,1.145134,0.4356766,2.273633e-309,1.19674946588e-306,5172,4453.368,4555,1.022821,0.2817293,0.8807038,6.592398e-07,4.07274015408451e-05
"GO:0048523","negative regulation of cellular process",0.3995854,44348.39,50408,1.136637,0.4541834,3.205337e-298,1.62227036857692e-295,4432,3816.189,3989,1.045284,0.2467219,0.9000451,5.220111e-19,2.2897146883e-16
"GO:0048519","negative regulation of biological process",0.4201996,46636.27,52713,1.1303,0.4749518,2.711613e-296,1.32155983211111e-293,4747,4087.421,4267,1.043935,0.2639164,0.8988835,1.825121e-19,8.89509897740741e-17
"GO:0044710","single-organism metabolic process",0.2795415,31025.19,36590,1.179364,0.3296812,1.351774e-293,6.35285502357143e-291,3518,3029.186,3169,1.046156,0.1960045,0.9007959,3.140236e-15,6.77415828262295e-13
"GO:0048583","regulation of response to stimulus",0.3481015,38634.4,44406,1.14939,0.4001045,6.256637e-284,2.83900297527586e-281,3885,3345.193,3512,1.049865,0.2172192,0.9039897,1.282426e-19,6.49055528230769e-17
"GO:1901576","organic substance biosynthetic process",0.3797928,42151.69,47965,1.137914,0.4321716,5.567496e-279,2.42194960664516e-276,4746,4086.56,4246,1.039016,0.2626175,0.8946481,1.27081e-15,3.08072048127273e-13
"GO:0009058","biosynthetic process",0.3849155,42720.23,48546,1.13637,0.4374065,5.705634e-279,2.42194960664516e-276,4832,4160.61,4320,1.038309,0.2671945,0.8940397,1.978546e-15,4.48891151965517e-13
"GO:0033554","cellular response to stress",0.1263306,14020.93,18120,1.292354,0.1632638,7.939768e-279,3.26498147225e-276,1590,1369.075,1406,1.026971,0.0869619,0.8842767,0.002438814,0.0488468088675799
"GO:0046483","heterocycle metabolic process",0.3564756,39563.81,45246,1.143621,0.407673,8.554596e-273,3.41120996254545e-270,4738,4079.671,4180,1.024592,0.2585354,0.8822288,4.318207e-07,2.71881750779904e-05
"GO:0044249","cellular biosynthetic process",0.3744834,41562.42,47285,1.137686,0.4260447,9.712855e-272,3.75916055720588e-269,4675,4025.425,4180,1.0384,0.2585354,0.8941176,6.492017e-15,1.33481955785937e-12
