"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0005622","intracellular",0.8286551,91969.11,102448,1.113939,0.9230714,0,0,14472,12461.17,12768,1.024623,0.7897081,0.8822554,1.111345e-49,1.92040416e-46
"GO:0005623","cell",0.898121,99678.86,106956,1.073006,0.9636891,0,0,16433,14149.69,14229,1.005605,0.8800717,0.8658796,4.679414e-07,1.88047148651163e-05
"GO:0005634","nucleus",0.5081718,56399.95,64673,1.146685,0.5827131,0,0,7109,6121.229,6266,1.023651,0.3875557,0.8814179,1.211938e-10,8.376915456e-09
"GO:0005654","nucleoplasm",0.2633195,29224.78,36064,1.234021,0.3249419,0,0,3340,2875.918,2974,1.034104,0.1839436,0.8904192,1.717407e-08,9.2739978e-07
"GO:0005737","cytoplasm",0.718849,79782.18,90790,1.137973,0.8180311,0,0,11263,9698.045,9998,1.030929,0.618382,0.8876853,1.082283e-37,4.67546256e-35
"GO:0005829","cytosol",0.3616374,40136.69,50144,1.249331,0.4518047,0,0,4901,4220.023,4372,1.036013,0.2704107,0.8920628,4.987233e-14,5.38621164e-12
"GO:0031981","nuclear lumen",0.3060869,33971.37,41186,1.212374,0.3710918,0,0,3940,3392.55,3493,1.029609,0.216044,0.8865482,6.383448e-08,3.06405504e-06
"GO:0031982","vesicle",0.3205407,35575.53,42623,1.198099,0.3840394,0,0,4219,3632.784,3792,1.043827,0.2345374,0.8987912,6.637159e-17,1.04263734109091e-14
"GO:0043226","organelle",0.791172,87809.01,98720,1.124258,0.8894816,0,0,13296,11448.57,11722,1.023884,0.7250124,0.8816185,1.983725e-35,6.8557536e-33
"GO:0043227","membrane-bounded organelle",0.7563244,83941.42,94630,1.127334,0.8526301,0,0,12319,10607.32,10921,1.029572,0.6754701,0.8865168,8.096381e-43,4.663515456e-40
"GO:0043229","intracellular organelle",0.750962,83346.27,94713,1.13638,0.8533779,0,0,12367,10648.65,10900,1.023604,0.6741712,0.8813779,2.073e-28,5.11734857142857e-26
"GO:0043230","extracellular organelle",0.2029199,22521.26,28498,1.265382,0.2567711,0,0,2748,2366.175,2445,1.033313,0.1512246,0.889738,8.205207e-07,2.95387452e-05
"GO:0043231","intracellular membrane-bounded organelle",0.6843317,75951.23,86498,1.138862,0.7793596,0,0,10646,9166.775,9423,1.027952,0.5828179,0.8851212,1.12157e-27,2.4225912e-25
"GO:0043232","intracellular non-membrane-bounded organelle",0.3005229,33353.84,40651,1.21878,0.3662714,0,0,4024,3464.879,3508,1.012445,0.2169718,0.8717694,0.01371027,0.139360862117647
"GO:0044422","organelle part",0.5980191,66371.75,77515,1.167891,0.6984214,0,0,9078,7816.643,7988,1.021922,0.4940623,0.8799295,2.396478e-13,2.43594940235294e-11
"GO:0044424","intracellular part",0.8161994,90586.71,101503,1.120507,0.9145568,0,0,14132,12168.41,12481,1.025689,0.771957,0.8831729,2.419908e-49,2.090800512e-46
"GO:0044428","nuclear part",0.3324162,36893.54,44335,1.201701,0.3994648,0,0,4296,3699.085,3817,1.031877,0.2360836,0.8885009,8.651801e-10,5.585488e-08
"GO:0044444","cytoplasmic part",0.6137674,68119.59,80277,1.178472,0.7233074,0,0,9360,8059.46,8324,1.032824,0.5148441,0.8893162,2.650698e-29,7.63401024e-27
"GO:0044446","intracellular organelle part",0.5859578,65033.12,76166,1.171188,0.6862667,0,0,8863,7631.516,7798,1.021815,0.4823107,0.8798375,9.822798e-13,9.42988608e-11
"GO:0044464","cell part",0.8978193,99645.38,106923,1.073035,0.9633918,0,0,16405,14125.58,14205,1.005622,0.8785873,0.8658945,5.091166e-07,1.974627456e-05
"GO:0070013","intracellular organelle lumen",0.3732567,41426.27,49930,1.205274,0.4498766,0,0,5058,4355.208,4464,1.02498,0.2761009,0.8825623,8.74699e-08,3.97757861052632e-06
"GO:0070062","extracellular exosome",0.200982,22306.19,28356,1.271217,0.2554917,0,0,2727,2348.093,2427,1.033605,0.1501113,0.889989,7.361009e-07,2.70634543659575e-05
"GO:1903561","extracellular vesicle",0.20283,22511.29,28485,1.265365,0.256654,0,0,2746,2364.453,2444,1.033643,0.1511628,0.8900218,6.480784e-07,2.43452059826087e-05
"GO:0031090","organelle membrane",0.2226532,24711.39,29973,1.212923,0.2700611,1.975083e-301,1.4109700608e-299,2879,2478.973,2555,1.030669,0.1580282,0.8874609,3.052422e-06,9.7677504e-05
"GO:0032991","macromolecular complex",0.3825065,42452.87,48506,1.142585,0.4370461,2.041334e-301,1.4109700608e-299,5073,4368.124,4480,1.025612,0.2770905,0.8831066,3.935574e-08,2.06080965818182e-06
"GO:0012505","endomembrane system",0.3407814,37821.96,43551,1.151474,0.3924008,2.763047e-282,1.83636354461538e-280,4309,3710.279,3872,1.043587,0.2394854,0.8985844,3.867933e-17,6.683788224e-15
"GO:0044421","extracellular region part",0.2899483,32180.2,37480,1.164691,0.3377003,1.009866e-261,6.4631424e-260,3818,3287.502,3377,1.027224,0.2088694,0.8844945,1.014498e-06,3.57765825306122e-05
"GO:0043234","protein complex",0.2455514,27252.77,32293,1.184944,0.2909646,7.661634e-261,4.72832269714286e-259,3181,2739.011,2801,1.022632,0.1732434,0.8805407,0.0002230099,0.00448094310697674
"GO:0005856","cytoskeleton",0.1744959,19366.6,23571,1.217095,0.2123781,2.190889e-230,1.30546765241379e-228,2069,1781.52,1813,1.017671,0.1121351,0.8762687,0.01743111,0.167268204198895
"GO:0098588","bounding membrane of organelle",0.1645292,18260.43,22365,1.224779,0.2015119,1.824355e-229,1.05082848e-227,1976,1701.442,1794,1.0544,0.1109599,0.9078947,1.630526e-11,1.34168996571429e-09
"GO:0005739","mitochondrion",0.1204675,13370.2,17000,1.271484,0.1531725,3.734923e-229,2.08191836903226e-227,1706,1468.957,1502,1.022494,0.09289955,0.880422,0.007643117,0.0887854518120805
"GO:0031410","cytoplasmic vesicle",0.1805531,20038.86,24269,1.211097,0.2186672,1.548291e-227,8.3607714e-226,2194,1889.151,1999,1.058147,0.1236393,0.9111212,2.123848e-14,2.446672896e-12
"GO:0097708","intracellular vesicle",0.1807937,20065.57,24292,1.210631,0.2188745,6.150903e-227,3.22083648e-225,2197,1891.734,2002,1.058288,0.1238248,0.9112426,1.747183e-14,2.15652301714286e-12
"GO:0005925","focal adhesion",0.03580865,3974.258,5809,1.461656,0.05233993,3.771059e-170,1.91658528e-168,393,338.394,365,1.078624,0.02257546,0.9287532,1.631406e-05,0.000494573608421053
"GO:0005924","cell-substrate adherens junction",0.03592902,3987.618,5816,1.458515,0.05240301,1.392494e-168,6.87494180571429e-167,396,340.9772,367,1.076318,0.02269916,0.9267677,2.745754e-05,0.000790777152
"GO:0016020","membrane",0.6476204,71876.79,76219,1.060412,0.6867443,3.642599e-167,1.74844752e-165,9041,7784.784,7821,1.004652,0.4837333,0.8650592,0.06572389,0.465454434098361
"GO:0098805","whole membrane",0.1374166,15251.32,18473,1.21124,0.1664444,1.095498e-164,5.11627174054054e-163,1610,1386.296,1468,1.058937,0.09079664,0.9118012,5.55169e-11,4.17100883478261e-09
"GO:0015629","actin cytoskeleton",0.04251556,4718.632,6612,1.401254,0.05957508,2.339865e-156,1.06402282105263e-154,459,395.2235,423,1.07028,0.02616279,0.9215686,3.42576e-05,0.000954792464516129
"GO:0030055","cell-substrate junction",0.03684507,4089.287,5858,1.432524,0.05278143,3.466976e-155,1.53613705846154e-153,401,345.2824,372,1.077379,0.02300841,0.9276808,1.858389e-05,0.000553671757241379
"GO:0044430","cytoskeletal part",0.1250627,13880.21,16880,1.21612,0.1520913,1.87209e-154,8.0874288e-153,1568,1350.132,1345,0.9961991,0.08318902,0.8577806,0.6684758,1
"GO:0031967","organelle envelope",0.08228184,9132.132,11535,1.263122,0.103932,1.61871e-141,6.82227043902439e-140,1163,1001.405,1005,1.00359,0.06215982,0.8641445,0.3965476,1
"GO:0044432","endoplasmic reticulum part",0.1036326,11501.77,14137,1.229115,0.1273764,6.895201e-140,2.83688269714286e-138,1281,1103.009,1141,1.034443,0.0705715,0.8907104,0.0006344357,0.010963048896
"GO:0005789","endoplasmic reticulum membrane",0.07876853,8742.204,11072,1.2665,0.09976033,2.506845e-138,1.00740189767442e-136,1010,869.664,895,1.029133,0.05535626,0.8861386,0.008866951,0.100490563764706
"GO:0005576","extracellular region",0.3437085,38146.83,42090,1.103368,0.379237,2.609821e-135,1.02494788363636e-133,4547,3915.21,3978,1.016037,0.2460416,0.8748625,0.0009839802,0.0160407338264151
"GO:0044433","cytoplasmic vesicle part",0.1173276,13021.72,15710,1.206446,0.1415494,1.250179e-131,4.80068736e-130,1430,1231.306,1295,1.051728,0.08009649,0.9055944,7.245726e-08,3.38394987243243e-06
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.0816333,9060.154,11365,1.254394,0.1024003,1.345903e-131,5.05591387826087e-130,1031,887.7461,913,1.028447,0.05646957,0.885548,0.009669977,0.107804646812903
"GO:0044429","mitochondrial part",0.06571511,7293.458,9347,1.281559,0.08421783,1.515097e-126,5.57039918297872e-125,1025,882.5798,863,0.9778153,0.05337704,0.8419512,0.9672558,1
"GO:0005765","lysosomal membrane",0.02286849,2538.082,3768,1.484585,0.03395023,6.215998e-118,2.23775928e-116,346,297.9245,315,1.057315,0.01948293,0.9104046,0.003197089,0.0428261224186047
"GO:0005773","vacuole",0.05593732,6208.26,8038,1.294727,0.07242355,1.822914e-116,6.4285620244898e-115,756,650.9564,673,1.033863,0.04162543,0.8902116,0.008897602,0.100490563764706
"GO:0005774","vacuolar membrane",0.02686356,2981.48,4280,1.435529,0.03856342,6.677356e-114,2.3076942336e-112,396,340.9772,361,1.058722,0.02232806,0.9116162,0.001285659,0.0196603429380531
"GO:0044451","nucleoplasm part",0.08898179,9875.733,12078,1.222998,0.1088245,1.974159e-112,6.6889152e-111,1073,923.9103,937,1.014168,0.05795398,0.8732526,0.1255636,0.728100338255034
"GO:1990904","ribonucleoprotein complex",0.04995158,5543.926,7238,1.305573,0.06521543,8.119278e-111,2.69809853538462e-109,817,703.4806,696,0.9893662,0.043048,0.8518972,0.7964605,1
"GO:0048471","perinuclear region of cytoplasm",0.06082144,6750.329,8594,1.273123,0.07743319,4.05775e-110,1.32297962264151e-108,658,566.5731,600,1.058998,0.03711034,0.9118541,3.385082e-05,0.000954792464516129
"GO:1902494","catalytic complex",0.1045603,11604.73,13938,1.201062,0.1255834,4.353045e-110,1.3929744e-108,1344,1157.256,1187,1.025702,0.07341663,0.8831845,0.007409423,0.0876950886575342
"GO:0015630","microtubule cytoskeleton",0.09715697,10783.06,13037,1.209026,0.1174653,2.266456e-109,7.12079266909091e-108,1113,958.3525,1020,1.064327,0.06308758,0.916442,3.292774e-09,1.96203912827586e-07
"GO:0030529","intracellular ribonucleoprotein complex",0.04988798,5536.867,7218,1.303625,0.06503523,2.393639e-109,7.38608605714286e-108,814,700.8975,693,0.9887323,0.04286244,0.8513514,0.8086295,1
"GO:0005768","endosome",0.07684053,8528.223,10528,1.234489,0.09485881,1.200673e-105,3.63993498947368e-104,857,737.9228,790,1.070573,0.04886195,0.9218203,1.200669e-08,6.69276139354839e-07
"GO:0005740","mitochondrial envelope",0.04708597,5225.883,6815,1.304086,0.06140414,2.694977e-103,8.02917285517241e-102,746,642.3458,624,0.9714393,0.03859476,0.8364611,0.9773176,1
"GO:0031966","mitochondrial membrane",0.04484353,4977.004,6531,1.312235,0.05884526,3.132349e-103,9.17406622372881e-102,704,606.1816,593,0.9782547,0.03667739,0.8423295,0.9337893,1
"GO:0005783","endoplasmic reticulum",0.1491384,16552.28,19154,1.157182,0.1725803,1.270274e-102,3.65838912e-101,1784,1536.119,1587,1.033123,0.09815685,0.889574,9.983872e-05,0.00236330559123288
"GO:0005912","adherens junction",0.05294665,5876.336,7544,1.283793,0.06797254,2.008504e-102,5.68966379016393e-101,504,433.9709,469,1.080718,0.02900792,0.9305556,5.142259e-07,1.974627456e-05
"GO:0070161","anchoring junction",0.05444306,6042.418,7721,1.2778,0.06956733,2.808444e-101,7.82740521290323e-100,521,448.6088,483,1.076662,0.02987382,0.9270633,1.344246e-06,4.55462174117647e-05
"GO:0030141","secretory granule",0.05784982,6420.52,8127,1.265785,0.07322545,2.93546e-99,8.05154742857143e-98,820,706.0638,727,1.029652,0.04496536,0.8865854,0.01566145,0.153766963636364
"GO:0005764","lysosome",0.04887641,5424.597,7003,1.290971,0.06309805,8.103092e-99,2.18783484e-97,662,570.0174,589,1.033302,0.03642999,0.8897281,0.01523489,0.150433656685714
"GO:0044437","vacuolar part",0.03868465,4293.455,5699,1.327369,0.05134882,5.974282e-97,1.58823989169231e-95,553,476.1625,498,1.045861,0.03080158,0.9005425,0.002867813,0.0390203217637795
"GO:0099503","secretory vesicle",0.06938089,7700.308,9421,1.223458,0.08488458,1.554583e-86,4.07018094545455e-85,935,805.0849,831,1.032189,0.05139782,0.8887701,0.005797625,0.0713117167659574
