"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0021546","rhombomere development",0.0005333272,3.672491,40,10.89179,0.005808888,1.235458e-27,1.617214522e-23,8,1.401449,4,2.854189,0.001067236,0.5,0.03625315,0.391545984735974
"GO:0021568","rhombomere 2 development",0.0002141431,1.47459,26,17.63203,0.003775777,1.397984e-23,9.14980528e-20,2,0.3503622,1,2.854189,0.000266809,0.5,0.3196806,0.930122039119804
"GO:0016322","neuron remodeling",0.001975101,13.60054,62,4.558641,0.009003776,8.091011e-22,3.53037779966667e-18,13,2.277355,8,3.512848,0.002134472,0.6153846,0.0004895575,0.0235599546875
"GO:0030917","midbrain-hindbrain boundary development",0.001070605,7.372183,45,6.104026,0.006534999,6.223524e-21,2.036648229e-17,9,1.57663,4,2.537057,0.001067236,0.4444444,0.05637739,0.509217791310345
"GO:0021555","midbrain-hindbrain boundary morphogenesis",0.0005379534,3.704347,32,8.638499,0.00464711,1.573349e-19,4.119027682e-16,4,0.7007245,2,2.854189,0.0005336179,0.5,0.1439318,0.748651844270323
"GO:0043954","cellular component maintenance",0.003762737,25.91021,83,3.203371,0.01205344,3.358057e-19,7.32616102166667e-16,41,7.182426,14,1.949202,0.003735326,0.3414634,0.007773529,0.160500880818898
"GO:0048668","collateral sprouting",0.00236902,16.31307,58,3.555431,0.008422887,9.047945e-16,1.691965715e-12,10,1.751811,4,2.283351,0.001067236,0.4,0.08127909,0.583465925
"GO:0048669","collateral sprouting in absence of injury",0.0008050303,5.543438,33,5.952984,0.004792332,1.787577e-15,2.611633024e-12,2,0.3503622,2,5.708378,0.0005336179,1,0.03068167,0.35955511217547
"GO:0000715","nucleotide-excision repair, DNA damage recognition",0.0003097089,2.132655,22,10.31578,0.003194888,1.947456e-15,2.611633024e-12,3,0.5255434,1,1.902793,0.000266809,0.3333333,0.4388708,1
"GO:0021903","rostrocaudal neural tube patterning",0.001646182,11.33561,47,4.146226,0.006825443,1.995136e-15,2.611633024e-12,13,2.277355,5,2.19553,0.001334045,0.3846154,0.06153769,0.532404733707865
"GO:0042551","neuron maturation",0.004628511,31.87193,84,2.635548,0.01219866,1.098644e-14,1.30738636e-11,31,5.430615,15,2.762118,0.004002134,0.483871,7.695308e-05,0.00555364251538462
"GO:0043297","apical junction assembly",0.003652082,25.14824,71,2.823259,0.01031078,5.053713e-14,5.5127585975e-11,34,5.956158,11,1.846828,0.002934899,0.3235294,0.02619937,0.349236001323829
"GO:0021794","thalamus development",0.001599295,11.01275,43,3.904567,0.006244554,2.137869e-13,2.15266963153846e-10,14,2.452536,6,2.446448,0.001600854,0.4285714,0.02403653,0.324035198455201
"GO:0043009","chordate embryonic development",0.08000185,550.8927,718,1.303339,0.1042695,6.069439e-13,5.38739894e-10,716,125.4297,177,1.411149,0.04722519,0.2472067,4.94258e-07,8.74302327027027e-05
"GO:0030210","heparin biosynthetic process",0.001514778,10.43076,41,3.930682,0.00595411,6.17349e-13,5.38739894e-10,7,1.226268,3,2.446448,0.0008004269,0.4285714,0.1080818,0.685460640503876
"GO:0009792","embryo development ending in birth or egg hatching",0.08045668,554.0247,721,1.301386,0.1047052,7.118259e-13,5.823625644375e-10,724,126.8311,178,1.403441,0.047492,0.2458564,6.719254e-07,0.000114227318
"GO:0055129","L-proline biosynthetic process",0.000160888,1.107875,15,13.53944,0.002178333,1.24468e-12,9.584036e-10,5,0.8759056,2,2.283351,0.0005336179,0.4,0.2128166,0.81170433974359
"GO:0021915","neural tube development",0.02236907,154.0334,246,1.597056,0.03572466,2.972963e-12,2.16200475944444e-09,188,32.93405,52,1.578913,0.01387407,0.2765957,0.0003540221,0.0180317092957198
"GO:0021572","rhombomere 6 development",0.0001164829,0.8021016,13,16.20742,0.001887888,4.300705e-12,2.96295939210526e-09,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
"GO:0001841","neural tube formation",0.01504845,103.6237,179,1.727405,0.02599477,7.963847e-12,5.2123378615e-09,127,22.248,35,1.573175,0.009338314,0.2755906,0.003211395,0.0905786618709677
"GO:0030202","heparin metabolic process",0.001652627,11.37999,41,3.602816,0.00595411,8.787795e-12,5.47772555e-09,8,1.401449,3,2.140642,0.0008004269,0.375,0.1511789,0.748651844270323
"GO:0070830","bicellular tight junction assembly",0.002809038,19.34303,55,2.843401,0.00798722,2.49399e-11,1.48392405e-08,25,4.379528,8,1.826681,0.002134472,0.32,0.05760219,0.513771086376022
"GO:0007043","cell-cell junction assembly",0.006073209,41.82012,90,2.152074,0.01307,6.039315e-11,2.57384700774194e-08,60,10.51087,19,1.807653,0.00506937,0.3166667,0.005447091,0.125802951845343
"GO:0061310","canonical Wnt signaling pathway involved in cardiac neural crest cell differentiation involved in heart development",8.84486e-05,0.609057,11,18.06071,0.001597444,6.095436e-11,2.57384700774194e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
"GO:2000055","positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification",8.84486e-05,0.609057,11,18.06071,0.001597444,6.095436e-11,2.57384700774194e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
"GO:2000149","negative regulation of planar cell polarity pathway involved in ventricular septum morphogenesis",8.84486e-05,0.609057,11,18.06071,0.001597444,6.095436e-11,2.57384700774194e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
"GO:2000151","negative regulation of planar cell polarity pathway involved in cardiac muscle tissue morphogenesis",8.84486e-05,0.609057,11,18.06071,0.001597444,6.095436e-11,2.57384700774194e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
"GO:2000162","negative regulation of planar cell polarity pathway involved in cardiac right atrium morphogenesis",8.84486e-05,0.609057,11,18.06071,0.001597444,6.095436e-11,2.57384700774194e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
"GO:2000164","negative regulation of planar cell polarity pathway involved in outflow tract morphogenesis",8.84486e-05,0.609057,11,18.06071,0.001597444,6.095436e-11,2.57384700774194e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.748651844270323
