"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0071942","XPC complex",0.0002726341,1.877358,22,11.71859,0.003194888,1.501691e-16,2.543864554e-13,3,0.5255434,1,1.902793,0.000266809,0.3333333,0.4388708,1
"GO:0099568","cytoplasmic region",0.02883705,198.5719,305,1.535968,0.04429277,6.470387e-13,5.480417789e-10,331,57.98495,73,1.258947,0.01947705,0.2205438,0.01930861,0.3743252975
"GO:0005938","cell cortex",0.02478674,170.6815,264,1.54674,0.03833866,1.174986e-11,6.63475428e-09,271,47.47408,61,1.284912,0.01627535,0.2250923,0.02044826,0.374577636631579
"GO:0005677","chromatin silencing complex",0.0003831103,2.638098,18,6.823099,0.002613999,4.881124e-10,2.067156014e-07,8,1.401449,3,2.140642,0.0008004269,0.375,0.1511789,0.949082171884984
"GO:1990761","growth cone lamellipodium",0.0002677174,1.843502,15,8.136687,0.002178333,1.303705e-09,3.86262774333333e-07,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.949082171884984
"GO:0009330","DNA topoisomerase complex (ATP-hydrolyzing)",0.0001520171,1.04679,12,11.46362,0.001742666,1.368109e-09,3.86262774333333e-07,2,0.3503622,1,2.854189,0.000266809,0.5,0.3196806,1
"GO:0016014","dystrobrevin complex",0.0002846566,1.960145,15,7.652495,0.002178333,2.936375e-09,6.3775182625e-07,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,0.949082171884984
"GO:0043209","myelin sheath",0.01392546,95.89073,158,1.647709,0.02294511,3.011815e-09,6.3775182625e-07,206,36.08731,40,1.108423,0.01067236,0.1941748,0.2609915,1
"GO:0044292","dendrite terminus",0.001425958,9.819145,33,3.360781,0.004792332,4.622547e-09,8.70066068666667e-07,12,2.102173,4,1.902793,0.001067236,0.3333333,0.1439105,0.949082171884984
"GO:0000015","phosphopyruvate hydratase complex",0.0007494922,5.161004,23,4.456498,0.00334011,6.812016e-09,1.1539555104e-06,5,0.8759056,1,1.141676,0.000266809,0.2,0.6182757,1
"GO:0043296","apical junction complex",0.01791592,123.369,185,1.499566,0.02686611,1.047074e-07,1.598174655e-05,152,26.62753,43,1.61487,0.01147279,0.2828947,0.0006625942,0.0487525859333333
"GO:0031298","replication fork protection complex",0.0002753846,1.896298,13,6.855462,0.001887888,1.132119e-07,1.598174655e-05,6,1.051087,2,1.902793,0.0005336179,0.3333333,0.283843,1
"GO:0014731","spectrin-associated cytoskeleton",0.000574708,3.957439,18,4.548396,0.002613999,2.101564e-07,2.73849955076923e-05,6,1.051087,3,2.854189,0.0008004269,0.5,0.07076376,0.744557822608696
"GO:1990812","growth cone filopodium",0.0005813987,4.003511,18,4.496053,0.002613999,2.479398e-07,3.00007158e-05,2,0.3503622,2,5.708378,0.0005336179,1,0.03068167,0.448058180862069
"GO:0043083","synaptic cleft",0.001878857,12.93781,35,2.70525,0.005082777,2.864094e-07,3.234516824e-05,8,1.401449,4,2.854189,0.001067236,0.5,0.03625315,0.5075441
"GO:1990851","Wnt-Frizzled-LRP5/6 complex",0.0005432002,3.740477,17,4.544875,0.002468777,4.556935e-07,4.82465493125e-05,4,0.7007245,2,2.854189,0.0005336179,0.5,0.1439318,0.949082171884984
"GO:0099738","cell cortex region",0.003195121,22.0016,48,2.181659,0.006970665,1.049776e-06,0.000104607090823529,32,5.605796,7,1.248708,0.001867663,0.21875,0.3237464,1
"GO:0098831","presynaptic active zone cytoplasmic component",0.0008128099,5.597009,20,3.573337,0.002904444,1.854338e-06,0.000156849693,3,0.5255434,2,3.805585,0.0005336179,0.6666667,0.08130004,0.76250050295082
"GO:0070160","occluding junction",0.01600924,110.2396,162,1.469526,0.02352599,1.924559e-06,0.000156849693,139,24.35018,36,1.478429,0.009605123,0.2589928,0.008333671,0.224083153555556
"GO:0032545","CURI complex",2.823e-05,0.1943918,5,25.72125,0.0007261109,1.965348e-06,0.000156849693,2,0.3503622,1,2.854189,0.000266809,0.5,0.3196806,1
"GO:0034456","UTP-C complex",2.823e-05,0.1943918,5,25.72125,0.0007261109,1.965348e-06,0.000156849693,2,0.3503622,1,2.854189,0.000266809,0.5,0.3196806,1
"GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",0.0008916032,6.139579,21,3.42043,0.003049666,2.037009e-06,0.000156849693,13,2.277355,3,1.317318,0.0008004269,0.2307692,0.4046724,1
"GO:0032593","insulin-responsive compartment",0.0003704317,2.550793,13,5.096454,0.001887888,2.934404e-06,0.00021612523373913,7,1.226268,4,3.26193,0.001067236,0.5714286,0.02100642,0.374577636631579
"GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)",0.0009180122,6.321432,21,3.322032,0.003049666,3.170911e-06,0.000223813468083333,15,2.627717,3,1.141676,0.0008004269,0.2,0.5036225,1
"GO:0043220","Schmidt-Lanterman incisure",0.001834371,12.63148,32,2.533354,0.00464711,3.420166e-06,0.00023175044816,14,2.452536,7,2.854189,0.001867663,0.5,0.00546844,0.168427952
"GO:0098826","endoplasmic reticulum tubular network membrane",0.0005673015,3.906438,16,4.095803,0.002323555,3.617273e-06,0.000235679248538462,5,0.8759056,1,1.141676,0.000266809,0.2,0.6182757,1
"GO:0000109","nucleotide-excision repair complex",0.00133992,9.22669,26,2.817912,0.003775777,4.442492e-06,0.0002723821925,15,2.627717,3,1.141676,0.0008004269,0.2,0.5036225,1
"GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain",0.001258144,8.663583,25,2.885642,0.003630555,4.502185e-06,0.0002723821925,25,4.379528,4,0.9133404,0.001067236,0.16,0.6605535,1
"GO:0016021","integral component of membrane",0.4281112,2947.974,3129,1.061407,0.4544002,5.746467e-06,0.000335672934413793,6517,1141.655,1153,1.009937,0.3076307,0.1769219,0.3353665,1
