"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0015016","[heparan sulfate]-glucosamine N-sulfotransferase activity",0.000914603,6.297956,35,5.557358,0.005082777,1.906668e-15,7.876445508e-12,4,0.7007245,2,2.854189,0.0005336179,0.5,0.1439318,1
"GO:0038024","cargo receptor activity",0.006082443,41.8837,101,2.411439,0.01466744,6.017723e-15,1.24296068565e-11,67,11.73713,23,1.959592,0.006136606,0.3432836,0.0006934355,0.092144110865625
"GO:0005041","low-density lipoprotein receptor activity",0.001252619,8.625532,37,4.289591,0.005373221,6.689561e-13,9.211525497e-10,10,1.751811,2,1.141676,0.0005336179,0.2,0.5447646,1
"GO:0047273","galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity",0.0001507529,1.038084,14,13.48638,0.002033111,7.279359e-12,7.51775800725e-09,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,1
"GO:0003917","DNA topoisomerase type I activity",0.0001932475,1.330702,15,11.27224,0.002178333,1.58052e-11,1.305825624e-08,4,0.7007245,2,2.854189,0.0005336179,0.5,0.1439318,1
"GO:0004587","ornithine-oxo-acid transaminase activity",0.0001045964,0.720251,12,16.66086,0.001742666,2.077973e-11,1.4306844105e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,1
"GO:0030228","lipoprotein particle receptor activity",0.001545346,10.64125,38,3.571008,0.005518443,6.303327e-11,3.41473313925e-08,15,2.627717,3,1.141676,0.0008004269,0.2,0.5036225,1
"GO:0015327","cystine:glutamate antiporter activity",0.0005314863,3.659815,22,6.011234,0.003194888,6.612894e-11,3.41473313925e-08,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,1
"GO:0005294","neutral L-amino acid secondary active transmembrane transporter activity",0.0006034467,4.155334,22,5.2944,0.003194888,6.761004e-10,3.103300836e-07,2,0.3503622,1,2.854189,0.000266809,0.5,0.3196806,1
"GO:0008146","sulfotransferase activity",0.00886723,61.05974,114,1.867024,0.01655533,7.717601e-10,3.1881409731e-07,60,10.51087,19,1.807653,0.00506937,0.3166667,0.005447091,0.318170783661972
"GO:0034483","heparan sulfate sulfotransferase activity",0.004206007,28.96257,67,2.313331,0.009729887,9.887199e-10,3.71309264263636e-07,14,2.452536,8,3.26193,0.002134472,0.5714286,0.0009668658,0.105764797184211
"GO:0030429","kynureninase activity",0.0004099073,2.822622,18,6.37705,0.002613999,1.386422e-09,4.772757735e-07,1,0.1751811,1,5.708378,0.000266809,1,0.1751811,1
"GO:0016782","transferase activity, transferring sulfur-containing groups",0.01049968,72.30078,128,1.770382,0.01858844,1.724838e-09,5.48100444461538e-07,79,13.83931,23,1.661933,0.006136606,0.2911392,0.007516853,0.403274282376623
"GO:0005044","scavenger receptor activity",0.003747681,25.80653,61,2.363743,0.008858554,2.477028e-09,7.30900190571428e-07,48,8.408694,19,2.259566,0.00506937,0.3958333,0.000256532,0.0529866846
"GO:0004634","phosphopyruvate hydratase activity",0.0007494922,5.161004,23,4.456498,0.00334011,6.812016e-09,1.8760292064e-06,5,0.8759056,1,1.141676,0.000266809,0.2,0.6182757,1
"GO:0000099","sulfur amino acid transmembrane transporter activity",0.0008297963,5.713977,24,4.200227,0.003485333,9.849842e-09,2.543106081375e-06,6,1.051087,2,1.902793,0.0005336179,0.3333333,0.283843,1
"GO:0016823","hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances",0.0004888202,3.366016,18,5.347568,0.002613999,1.98262e-08,4.8177666e-06,3,0.5255434,1,1.902793,0.000266809,0.3333333,0.4388708,1
"GO:0030275","LRR domain binding",0.001392575,9.589274,31,3.232778,0.004501888,3.119684e-08,7.15967478e-06,14,2.452536,5,2.038706,0.001334045,0.3571429,0.08237166,1
"GO:0071936","coreceptor activity involved in Wnt signaling pathway",0.000164991,1.136128,11,9.682005,0.001597444,3.590756e-08,7.80705949263158e-06,3,0.5255434,1,1.902793,0.000266809,0.3333333,0.4388708,1
"GO:0004867","serine-type endopeptidase inhibitor activity",0.005413337,37.27624,74,1.985179,0.01074644,6.731291e-08,1.39034815605e-05,124,21.72246,27,1.242953,0.007203842,0.2177419,0.12997,1
