"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0009987","cellular process",0.8638668,25719.91,27169,1.056341,0.9125382,8.480331e-149,1.11592675629e-144,14773,9281.412,9580,1.03217,0.8120709,0.6484803,5.656813e-28,1.12784851919697e-25
"GO:0033554","cellular response to stress",0.1263306,3761.24,4982,1.324563,0.1673328,5.086846e-93,3.3468903257e-89,1590,998.9471,1260,1.261328,0.1068068,0.7924528,2.859922e-49,3.01105149007692e-46
"GO:0044238","primary metabolic process",0.6121081,18224.29,19901,1.092004,0.6684244,1.641294e-90,7.199262582e-87,8934,5612.952,6073,1.081962,0.5147919,0.6797627,2.297428e-44,1.20927420208e-41
"GO:0044237","cellular metabolic process",0.6123062,18230.19,19891,1.091102,0.6680885,7.618107e-89,2.506166750325e-85,8847,5558.293,6061,1.090443,0.5137747,0.685091,1.110732e-52,1.4616122388e-49
"GO:0044260","cellular macromolecule metabolic process",0.5221029,15544.57,17181,1.105273,0.5770665,4.747215e-81,1.2493720437e-77,6978,4384.058,4873,1.111527,0.4130711,0.6983376,1.295521e-53,1.89419564877778e-50
"GO:0008152","metabolic process",0.6502981,19361.32,20886,1.078749,0.7015081,8.507776e-79,1.86589707306667e-75,9664,6071.588,6538,1.076819,0.5542087,0.6765315,2.325208e-45,1.39079145781818e-42
"GO:0071704","organic substance metabolic process",0.6372781,18973.68,20483,1.079548,0.6879723,7.591037e-76,1.42700651261429e-72,9327,5859.861,6322,1.078865,0.535899,0.6778171,1.374931e-44,7.53863209541667e-42
"GO:0006139","nucleobase-containing compound metabolic process",0.3453542,10282.23,11746,1.142359,0.3945185,4.558874e-70,7.49877787075e-67,4564,2867.418,3185,1.110755,0.2699839,0.6978528,8.339577e-30,1.95965167398214e-27
"GO:0090304","nucleic acid metabolic process",0.3108041,9253.57,10626,1.148314,0.3569005,7.12288e-65,1.04144419911111e-61,4010,2519.357,2792,1.108219,0.2366703,0.6962594,1.924781e-24,2.97978743282353e-22
"GO:0034641","cellular nitrogen compound metabolic process",0.380459,11327.41,12730,1.123823,0.4275686,2.526452e-62,3.3245581868e-59,5172,3249.405,3569,1.098355,0.3025345,0.6900619,7.500689e-28,1.47315770971642e-25
"GO:0006996","organelle organization",0.2147065,6392.457,7581,1.185929,0.2546267,6.515794e-61,7.79466665872727e-58,2824,1774.231,2130,1.20052,0.1805544,0.7542493,8.53863e-54,1.404497902125e-50
"GO:0006950","response to stress",0.2452907,7303.041,8532,1.16828,0.2865684,9.446757e-60,1.035915628025e-56,3269,2053.81,2201,1.071667,0.1865729,0.6732946,2.015098e-09,6.51515345995086e-08
"GO:0043170","macromolecule metabolic process",0.5591263,16646.87,18033,1.083267,0.605683,1.174635e-59,1.18900168961538e-56,7605,4777.983,5214,1.091255,0.4419768,0.6856016,1.379412e-41,5.85538145419355e-39
"GO:0046483","heterocycle metabolic process",0.3564756,10613.35,11955,1.126412,0.4015383,1.47447e-58,1.38589648071429e-55,4738,2976.737,3284,1.103222,0.2783759,0.6931195,2.526832e-27,4.5548742860274e-25
"GO:0016032","viral process",0.04480791,1334.066,1945,1.457949,0.06532765,2.683125e-58,2.17047797047059e-55,623,391.4114,490,1.25188,0.04153598,0.7865169,3.839612e-18,2.90376174183908e-16
"GO:0044403","symbiosis, encompassing mutualism through parasitism",0.04986429,1484.61,2125,1.431353,0.07137339,2.721725e-58,2.17047797047059e-55,689,432.8771,535,1.235917,0.04535051,0.7764877,1.313278e-17,9.34131092e-16
"GO:0044419","interspecies interaction between organisms",0.04997941,1488.037,2129,1.430744,0.07150774,2.804022e-58,2.17047797047059e-55,691,434.1336,537,1.236946,0.04552005,0.7771346,8.404326e-18,6.04330742262295e-16
"GO:0044764","multi-organism cellular process",0.04560495,1357.796,1968,1.449408,0.06610016,2.36982e-57,1.73247007666667e-54,635,398.9506,495,1.240755,0.04195982,0.7795276,5.937143e-17,4.04802407963731e-15
"GO:0044271","cellular nitrogen compound biosynthetic process",0.28135,8376.634,9595,1.145448,0.3222719,2.220167e-54,1.53764092384211e-51,3480,2186.375,2386,1.091304,0.2022548,0.6856322,2.861594e-15,1.67358735315556e-13
"GO:0065007","biological regulation",0.765679,22796.56,23903,1.048535,0.8028415,4.948912e-54,3.2561366504e-51,11658,7324.356,7542,1.029715,0.6393151,0.6469377,7.585724e-12,3.2200174876129e-10
"GO:0060255","regulation of macromolecule metabolic process",0.4778432,14226.83,15551,1.093076,0.5223189,1.834739e-53,1.14968240480952e-50,5942,3733.172,4073,1.091029,0.3452573,0.6854594,6.888825e-29,1.53644149449153e-26
"GO:1903706","regulation of hemopoiesis",0.04134973,1231.105,1791,1.45479,0.06015517,4.527657e-53,2.70815629377273e-50,441,277.0665,324,1.169395,0.02746461,0.7346939,1.082954e-06,2.3209432713355e-05
"GO:0016070","RNA metabolic process",0.2811371,8370.296,9572,1.143568,0.3214993,5.344914e-53,3.05798797069565e-50,3493,2194.542,2399,1.093166,0.2033568,0.6868022,6.768117e-16,4.20987755731132e-14
"GO:0006807","nitrogen compound metabolic process",0.4177657,12438.14,13744,1.104989,0.4616263,5.654162e-53,3.10012990658333e-50,5667,3560.398,3886,1.091451,0.3294058,0.6857244,2.37261e-27,4.33627430416667e-25
"GO:0080090","regulation of primary metabolic process",0.4793338,14271.21,15582,1.091849,0.5233601,1.999305e-52,1.0523541798e-49,5989,3762.701,4078,1.083796,0.3456811,0.680915,5.26874e-25,8.6664187075e-23
"GO:0050789","regulation of biological process",0.7427169,22112.91,23237,1.050834,0.7804722,3.58884e-52,1.81636713692308e-49,11037,6934.201,7158,1.032275,0.6067644,0.6485458,3.909799e-12,1.70927059936877e-10
"GO:0000956","nuclear-transcribed mRNA catabolic process",0.01091331,324.9221,631,1.942004,0.0211937,7.28368e-52,3.54984981925926e-49,198,124.3972,158,1.270125,0.01339324,0.7979798,1.622856e-07,4.05991674980989e-06
"GO:0050794","regulation of cellular process",0.7205936,21454.23,22601,1.053452,0.7591106,2.337963e-51,1.09875911132143e-48,10477,6582.37,6819,1.035949,0.5780283,0.6508543,3.630307e-13,1.75905835220588e-11
"GO:0006974","cellular response to DNA damage stimulus",0.05419966,1613.686,2231,1.382549,0.07493366,5.664629e-51,2.57037424175862e-48,740,464.9188,590,1.269039,0.05001272,0.7972973,2.829648e-24,4.27992391172414e-22
"GO:0006725","cellular aromatic compound metabolic process",0.3622131,10784.17,12030,1.115524,0.4040574,1.57192e-50,6.89496509333333e-48,4773,2998.726,3304,1.101801,0.2800712,0.6922271,7.274028e-27,1.29349911421622e-24
"GO:0034654","nucleobase-containing compound biosynthetic process",0.2557896,7615.625,8744,1.148166,0.2936889,1.368237e-49,5.8079453816129e-47,3049,1915.591,2076,1.083739,0.1759769,0.680879,1.999229e-11,7.99630833161094e-10
"GO:0031323","regulation of cellular metabolic process",0.4806449,14310.24,15577,1.088521,0.5231922,4.271444e-49,1.756497862375e-46,5980,3757.046,4068,1.082765,0.3448334,0.6802676,2.18809e-24,3.34803212906977e-22
"GO:0010948","negative regulation of cell cycle process",0.02417869,719.8721,1141,1.585004,0.03832331,6.733686e-49,2.68510830527273e-46,299,187.8523,244,1.298893,0.02068322,0.8160535,8.158744e-13,3.76704955424561e-11
"GO:1901988","negative regulation of cell cycle phase transition",0.01504093,447.8136,788,1.759661,0.02646693,9.950735e-49,3.85122711367647e-46,207,130.0516,171,1.314863,0.01449521,0.826087,3.253084e-10,1.16009030775068e-08
"GO:0010556","regulation of macromolecule biosynthetic process",0.3513538,10460.86,11674,1.11597,0.3921002,1.348344e-48,5.06938819885714e-46,4202,2639.985,2879,1.090537,0.2440451,0.6851499,1.448896e-18,1.16256234536585e-16
"GO:0010604","positive regulation of macromolecule metabolic process",0.2897455,8626.593,9782,1.133936,0.3285527,2.03182e-48,7.42686649444445e-46,3005,1887.947,2272,1.203423,0.1925913,0.7560732,2.18037e-59,5.738297766e-56
"GO:0010605","negative regulation of macromolecule metabolic process",0.2235971,6657.155,7723,1.160105,0.2593961,2.560985e-48,8.95824550421053e-46,2372,1490.253,1710,1.147456,0.1449521,0.7209106,1.73729e-24,2.75433724216867e-22
"GO:0019222","regulation of metabolic process",0.5035609,14992.52,16248,1.08374,0.5457294,2.586924e-48,8.95824550421053e-46,6340,3983.223,4321,1.0848,0.3662796,0.6815457,1.218816e-27,2.29119996342857e-25
"GO:1901360","organic cyclic compound metabolic process",0.3744601,11148.8,12370,1.109536,0.4154771,4.461554e-48,1.5053740791282e-45,4980,3128.778,3435,1.097873,0.2911757,0.689759,2.627829e-26,4.49085737805195e-24
"GO:0010467","gene expression",0.2974556,8856.145,10015,1.130853,0.3363786,4.845962e-48,1.59420034895e-45,3749,2355.379,2569,1.090695,0.2177672,0.6852494,2.279242e-16,1.46305099892683e-14
"GO:0018130","heterocycle biosynthetic process",0.2603968,7752.794,8866,1.143588,0.2977866,7.628521e-48,2.44838311802439e-45,3115,1957.057,2121,1.08377,0.1797915,0.6808989,1.100795e-11,4.56951463880126e-10
"GO:0031325","positive regulation of cellular metabolic process",0.2846421,8474.649,9613,1.134324,0.3228764,1.623199e-47,5.08563705738095e-45,2970,1865.958,2238,1.199384,0.1897092,0.7535354,2.641729e-56,5.45289973442857e-53
"GO:2000112","regulation of cellular macromolecule biosynthetic process",0.3456717,10291.68,11483,1.115755,0.385685,2.953828e-47,9.03940061674419e-45,4101,2576.53,2809,1.090226,0.2381114,0.6849549,6.10739e-18,4.51500814662921e-16
"GO:1901991","negative regulation of mitotic cell cycle phase transition",0.01471328,438.0585,769,1.755473,0.02582877,3.124402e-47,9.34409225409091e-45,199,125.0255,164,1.311733,0.01390184,0.8241206,1.073615e-09,3.63179943059126e-08
"GO:0006402","mRNA catabolic process",0.01206864,359.3196,658,1.831239,0.02210056,5.021945e-46,1.46852831677778e-43,213,133.8212,168,1.255406,0.01424091,0.7887324,2.918667e-07,6.88292814569892e-06
"GO:0009893","positive regulation of metabolic process",0.3034244,9033.856,10171,1.125876,0.3416182,6.79763e-46,1.94456550369565e-43,3198,2009.203,2393,1.191019,0.2028482,0.7482802,2.900699e-56,5.45289973442857e-53
"GO:0048518","positive regulation of biological process",0.47298,14082.03,15299,1.08642,0.5138548,1.701662e-45,4.76429154425532e-43,5433,3413.383,3916,1.147249,0.3319488,0.7207804,1.095796e-64,3.604894891e-61
"GO:0019438","aromatic compound biosynthetic process",0.2617156,7792.06,8866,1.137825,0.2977866,1.393448e-44,3.82007963166667e-42,3119,1959.57,2118,1.080849,0.1795372,0.6790638,5.212312e-11,1.9823356534104e-09
"GO:0009894","regulation of catabolic process",0.05052322,1504.228,2057,1.367479,0.06908944,4.173507e-44,1.12079956353061e-41,564,354.3435,463,1.306642,0.03924727,0.820922,3.102452e-24,4.63922339409091e-22
"GO:0010468","regulation of gene expression",0.3692598,10993.97,12149,1.10506,0.4080543,1.846325e-43,4.859158135e-41,4426,2780.717,3028,1.088928,0.2566754,0.6841392,4.325977e-19,3.60288173056962e-17
"GO:0051252","regulation of RNA metabolic process",0.3269276,9733.617,10857,1.115413,0.3646593,2.664925e-43,6.87602903431372e-41,3833,2408.154,2606,1.082157,0.2209036,0.6798852,4.604617e-14,2.48328504520492e-12
"GO:2001141","regulation of RNA biosynthetic process",0.317183,9443.489,10549,1.117066,0.3543143,1.356694e-42,3.43321852807692e-40,3704,2327.107,2499,1.073866,0.2118335,0.674676,2.880062e-11,1.11466870170588e-09
"GO:1903506","regulation of nucleic acid-templated transcription",0.3168374,9433.201,10530,1.11627,0.3536761,5.522829e-42,1.37122465681132e-39,3686,2315.798,2488,1.07436,0.2109011,0.6749864,2.446561e-11,9.61023767134328e-10
"GO:0051254","positive regulation of RNA metabolic process",0.1623916,4834.886,5711,1.181207,0.1918181,1.508901e-41,3.67696819611111e-39,1489,935.492,1183,1.264575,0.1002797,0.7944929,3.452694e-47,2.52411113033333e-44
"GO:0006355","regulation of transcription, DNA-templated",0.3157099,9399.63,10486,1.115576,0.3521983,2.646973e-41,6.33300321945455e-39,3664,2301.976,2470,1.072991,0.2093753,0.6741266,6.471587e-11,2.44711532566092e-09
"GO:0006401","RNA catabolic process",0.01408922,419.4783,718,1.71165,0.02411581,8.790784e-41,2.06567726171429e-38,241,151.4127,186,1.22843,0.01576672,0.7717842,1.120296e-06,2.39706911609756e-05
"GO:0045786","negative regulation of cell cycle",0.05028554,1497.151,2025,1.352569,0.06801464,1.031089e-40,2.38036844754386e-38,558,350.5739,453,1.292167,0.03839959,0.811828,8.538538e-22,9.71191940784483e-20
"GO:0048523","negative regulation of cellular process",0.3995854,11896.86,13026,1.094911,0.4375105,1.301455e-40,2.95273212844828e-38,4432,2784.487,3152,1.131986,0.2671866,0.7111913,3.279853e-40,1.26939957726471e-37
"GO:0002682","regulation of immune system process",0.1135085,3379.488,4129,1.221783,0.1386827,1.433938e-40,3.19816782067797e-38,1423,894.0263,926,1.035764,0.07849453,0.6507379,0.03587278,0.191699928262454
"GO:1901362","organic cyclic compound biosynthetic process",0.2701165,8042.178,9069,1.12768,0.3046048,2.972391e-40,6.5189488615e-38,3241,2036.219,2204,1.082399,0.1868272,0.680037,7.910096e-12,3.34691168051447e-10
"GO:0031400","negative regulation of protein modification process",0.062641,1865.01,2439,1.307768,0.08191986,1.011802e-39,2.18267254393443e-37,612,384.5004,480,1.248373,0.04068831,0.7843137,2.254272e-17,1.59483684129032e-15
"GO:0048522","positive regulation of cellular process",0.4415974,13147.68,14275,1.085743,0.4794613,1.291741e-39,2.74161609983871e-37,4914,3087.312,3584,1.16088,0.3038061,0.7293447,1.765846e-67,7.74558917133333e-64
"GO:1901990","regulation of mitotic cell cycle phase transition",0.03065848,912.795,1328,1.454872,0.04460417,2.113199e-39,4.41390248269841e-37,393,246.9096,318,1.287921,0.02695601,0.8091603,2.766653e-15,1.62528512620536e-13
"GO:1901987","regulation of cell cycle phase transition",0.03326592,990.4261,1418,1.431707,0.04762704,6.999437e-39,1.43914986692187e-36,419,263.2446,341,1.295373,0.02890565,0.8138425,5.033474e-17,3.46782640659686e-15
"GO:0044265","cellular macromolecule catabolic process",0.06140191,1828.119,2388,1.306261,0.0802069,1.418594e-38,2.87188899169231e-36,854,536.5414,657,1.224509,0.05569213,0.7693208,1.23194e-19,1.08073989733333e-17
"GO:0010629","negative regulation of gene expression",0.1527344,4547.361,5369,1.180685,0.1803312,1.550672e-38,3.09171103757576e-36,1488,934.8637,1111,1.188409,0.09417649,0.7466398,3.568245e-24,5.26252125120879e-22
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",0.1845414,5494.351,6377,1.160647,0.2141874,1.593738e-38,3.13014900626866e-36,1753,1101.355,1374,1.247554,0.1164703,0.7837992,6.494525e-49,5.69743029833333e-46
"GO:0031329","regulation of cellular catabolic process",0.03486485,1038.031,1471,1.417106,0.04940718,2.760498e-38,5.34196958558824e-36,405,254.4488,333,1.308711,0.02822752,0.8222222,5.656382e-18,4.20521642587571e-16
"GO:0032774","RNA biosynthetic process",0.2339689,6965.956,7920,1.136958,0.2660128,3.716489e-38,7.08772155811594e-36,2720,1708.891,1823,1.066774,0.1545308,0.6702206,4.615756e-07,1.05266435362218e-05
"GO:0051171","regulation of nitrogen compound metabolic process",0.3769965,11224.32,12303,1.096102,0.4132267,6.386208e-38,1.20051587245714e-35,4508,2832.235,3096,1.09313,0.2624396,0.6867791,3.10154e-21,3.31814348455285e-19
"GO:0031326","regulation of cellular biosynthetic process",0.3681597,10961.22,12035,1.097962,0.4042253,6.615377e-38,1.22608092877465e-35,4400,2764.382,2997,1.084148,0.2540476,0.6811364,3.769549e-17,2.61071027847368e-15
"GO:0010608","posttranscriptional regulation of gene expression",0.03969186,1181.746,1637,1.385239,0.0549827,9.956725e-38,1.81972978159722e-35,557,349.9456,431,1.23162,0.03653471,0.7737882,5.55363e-14,2.97074053536585e-12
"GO:0009889","regulation of biosynthetic process",0.3731755,11110.56,12184,1.096615,0.4092298,1.050831e-37,1.89423083958904e-35,4471,2808.989,3048,1.085088,0.2583708,0.6817267,7.909724e-18,5.75050044839779e-16
"GO:0010558","negative regulation of macromolecule biosynthetic process",0.1465104,4362.055,5157,1.182241,0.1732106,2.316411e-37,4.11914220932432e-35,1435,901.5655,1073,1.190152,0.09095533,0.7477352,9.988334e-24,1.39826050112766e-21
"GO:0031324","negative regulation of cellular metabolic process",0.2297907,6841.557,7778,1.136876,0.2612434,2.895999e-37,5.0811267788e-35,2436,1530.462,1740,1.136911,0.1474951,0.7142857,6.606998e-22,7.76263273946429e-20
"GO:0034655","nucleobase-containing compound catabolic process",0.02398558,714.1226,1071,1.499742,0.03597219,1.198714e-36,2.07551020078947e-34,358,224.9202,271,1.204872,0.02297194,0.7569832,1.087686e-07,2.80095109080235e-06
"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress",0.006905222,205.5892,410,1.994268,0.01377087,1.413438e-36,2.41551047298701e-34,113,70.99435,92,1.295878,0.007798593,0.8141593,1.341972e-05,0.000236083015347594
"GO:1902807","negative regulation of cell cycle G1/S phase transition",0.007958434,236.9465,454,1.916045,0.01524872,1.978439e-36,3.33772805141026e-34,101,63.45513,88,1.386807,0.007459524,0.8712871,4.477096e-08,1.21222440872428e-06
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process",0.1406,4186.085,4956,1.183922,0.1664595,2.698896e-36,4.49554081822785e-34,1351,848.7909,1018,1.199353,0.08629313,0.7535159,1.864991e-24,2.92159721059524e-22
"GO:0051726","regulation of cell cycle",0.1044818,3110.737,3791,1.218682,0.1273301,3.623025e-36,5.959423246875e-34,1142,717.4828,899,1.252992,0.07620582,0.7872154,6.442513e-33,1.73014344014286e-30
"GO:0048519","negative regulation of biological process",0.4201996,12510.6,13577,1.085239,0.4560172,5.282042e-36,8.58103588617284e-34,4747,2982.391,3357,1.125607,0.2845639,0.7071835,8.263151e-40,3.10670868597143e-37
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.3589303,10686.43,11723,1.096999,0.393746,8.344706e-36,1.33912178358537e-33,4229,2656.948,2892,1.088467,0.2451471,0.6838496,6.21124e-18,4.56612889162011e-16
"GO:0043620","regulation of DNA-templated transcription in response to stress",0.007810973,232.5561,445,1.913517,0.01494643,1.290492e-35,2.04597400337349e-33,119,74.76397,98,1.310792,0.008307197,0.8235294,2.602232e-06,5.25195872515337e-05
"GO:2000134","negative regulation of G1/S transition of mitotic cell cycle",0.007844568,233.5563,446,1.909604,0.01498002,1.681889e-35,2.63475920845238e-33,97,60.94206,85,1.394767,0.007205222,0.8762887,4.194156e-08,1.14503939427386e-06
"GO:0051173","positive regulation of nitrogen compound metabolic process",0.1938326,5770.978,6629,1.148679,0.2226514,2.360831e-35,3.65484413282353e-33,1867,1172.978,1454,1.23958,0.1232517,0.7787895,6.082044e-49,5.69743029833333e-46
"GO:0007005","mitochondrion organization",0.03487868,1038.443,1452,1.398247,0.04876902,3.000378e-35,4.59092722116279e-33,540,339.2651,418,1.232075,0.03543274,0.7740741,1.211169e-13,6.2995149687747e-12
