"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0005622","intracellular",0.8286551,24671.55,27478,1.113753,0.9229167,0,0,14472,9092.304,9815,1.079484,0.8319912,0.6782062,5.770865e-145,1.994410944e-142
"GO:0043226","organelle",0.791172,23555.56,26167,1.110863,0.8788836,0,0,13296,8353.46,9043,1.082545,0.7665508,0.6801294,2.873017e-114,4.51324852363636e-112
"GO:0043229","intracellular organelle",0.750962,22358.39,25241,1.128927,0.8477815,0,0,12367,7769.798,8524,1.097068,0.7225566,0.6892537,4.17364e-126,1.20200832e-123
"GO:0044424","intracellular part",0.8161994,24300.7,27272,1.122272,0.9159977,0,0,14132,8878.692,9650,1.086872,0.8180046,0.6828474,7.964994e-157,4.587836544e-154
"GO:0044464","cell part",0.8978193,26730.77,28491,1.06585,0.9569409,2.10287700000001e-310,7.26754291200004e-308,16405,10306.75,10563,1.024863,0.8953971,0.6438891,8.526705e-31,6.1392276e-29
"GO:0005623","cell",0.898121,26739.76,28497,1.065716,0.9571424,2.62013400000001e-310,7.54598592000004e-308,16433,10324.34,10572,1.023988,0.89616,0.6433396,3.550931e-29,2.36000337230769e-27
"GO:0044446","intracellular organelle part",0.5859578,17445.72,20511,1.175704,0.6889128,1.791288e-294,4.42192237714286e-292,8863,5568.345,6488,1.165158,0.5499703,0.732032,1.104362e-172,1.908337536e-169
"GO:0043227","membrane-bounded organelle",0.7563244,22518.05,25079,1.113729,0.8423404,3.911907e-288,8.44971912e-286,12319,7739.641,8431,1.089327,0.7146732,0.68439,5.153568e-106,6.36097536e-104
"GO:0044422","organelle part",0.5980191,17804.82,20769,1.166482,0.6975783,9.789013e-279,1.879490496e-276,9078,5703.423,6616,1.160005,0.5608205,0.7287949,2.14082e-169,1.84966848e-166
"GO:0005737","cytoplasm",0.718849,21402.29,23978,1.120347,0.8053606,2.079258e-260,3.592957824e-258,11263,7076.19,7926,1.120094,0.6718657,0.7037201,1.420599e-150,6.13698768e-148
"GO:0043231","intracellular membrane-bounded organelle",0.6843317,20374.61,22946,1.126206,0.7706983,3.298424e-239,5.18152424727273e-237,10646,6688.548,7453,1.114293,0.6317708,0.7000751,5.335092e-120,1.152379872e-117
"GO:0044444","cytoplasmic part",0.6137674,18273.7,20991,1.1487,0.7050348,3.632825e-238,5.231268e-236,9360,5880.594,6656,1.131858,0.5642112,0.7111111,3.289235e-122,8.11971154285714e-120
"GO:0005829","cytosol",0.3616374,10767.03,13416,1.246026,0.4506096,6.889628e-218,9.15790552615385e-216,4901,3079.145,3628,1.178249,0.3075358,0.7402571,1.960912e-82,2.11778496e-80
"GO:0005654","nucleoplasm",0.2633195,7839.811,10292,1.312787,0.3456823,6.444685e-216,7.95458262857143e-214,3340,2098.417,2635,1.255708,0.2233619,0.7889222,1.113156e-106,1.47964120615385e-104
"GO:0031981","nuclear lumen",0.3060869,9113.127,11660,1.279473,0.39163,1.322126e-215,1.523089152e-213,3940,2475.378,3062,1.236983,0.2595575,0.7771574,2.986992e-111,4.30126848e-109
"GO:0044428","nuclear part",0.3324162,9897.028,12473,1.260277,0.4189366,8.897509e-213,9.60930972e-211,4296,2699.042,3328,1.23303,0.2821056,0.7746741,1.267273e-119,2.43316416e-117
"GO:0070013","intracellular organelle lumen",0.3732567,11112.97,13654,1.228654,0.4586034,7.465921e-199,7.58888911058824e-197,5058,3177.783,3831,1.205558,0.3247436,0.757414,2.337404e-114,4.039034112e-112
"GO:0005634","nucleus",0.5081718,15129.8,17415,1.15104,0.5849259,9.790797e-156,9.39916512e-154,7109,4466.362,4977,1.11433,0.4218869,0.7000985,7.093798e-58,6.45162260210526e-56
"GO:0043232","intracellular non-membrane-bounded organelle",0.3005229,8947.469,10621,1.18704,0.3567326,1.668071e-96,1.51706667789474e-94,4024,2528.153,2966,1.173189,0.2514199,0.7370775,8.897817e-61,8.54190432e-59
"GO:0032991","macromolecular complex",0.3825065,11388.37,12914,1.133964,0.4337487,3.791825e-73,3.2761368e-71,5073,3187.207,3784,1.187246,0.3207595,0.7459097,3.68293e-95,4.24273536e-93
"GO:0043234","protein complex",0.2455514,7310.803,8627,1.180035,0.2897592,4.9796e-68,4.09749942857143e-66,3181,1998.523,2428,1.214898,0.205815,0.763282,9.100411e-71,9.25030012235294e-69
"GO:0005925","focal adhesion",0.03580865,1066.131,1623,1.522327,0.05451248,5.356595e-59,4.20736189090909e-57,393,246.9096,340,1.377022,0.02882089,0.8651399,3.645664e-26,2.24989549714286e-24
"GO:0005924","cell-substrate adherens junction",0.03592902,1069.715,1624,1.518162,0.05454607,2.401225e-58,1.8040507826087e-56,396,248.7944,341,1.37061,0.02890565,0.8611111,1.986604e-25,1.10737152e-23
"GO:0030055","cell-substrate junction",0.03684507,1096.988,1632,1.48771,0.05481477,1.244885e-53,8.963172e-52,401,251.9357,343,1.361458,0.02907519,0.8553616,1.955548e-24,9.93878512941176e-23
"GO:1990904","ribonucleoprotein complex",0.04995158,1487.208,2099,1.411369,0.07050012,1.49656e-53,1.034422272e-51,817,513.2955,627,1.221519,0.05314911,0.7674419,2.352156e-18,8.83592514782609e-17
"GO:0030529","intracellular ribonucleoprotein complex",0.04988798,1485.315,2090,1.407109,0.07019783,1.78136e-52,1.18391926153846e-50,814,511.4107,624,1.220154,0.0528948,0.7665848,4.435218e-18,1.63065036255319e-16
"GO:0044451","nucleoplasm part",0.08898179,2649.255,3403,1.284512,0.1142982,1.562695e-49,1.0001248e-47,1073,674.1322,864,1.281648,0.07323896,0.805219,2.378065e-38,1.95680777142857e-36
"GO:0000785","chromatin",0.0400528,1192.492,1692,1.418877,0.05683001,2.78973e-44,1.72166194285714e-42,486,305.3386,373,1.221595,0.03161821,0.7674897,2.024685e-11,5.07051547826087e-10
"GO:0005912","adherens junction",0.05294665,1576.381,2102,1.333434,0.07060088,9.413928e-39,5.60940261517241e-37,504,316.6474,426,1.345345,0.03611088,0.8452381,1.105242e-27,7.0735488e-26
"GO:0070161","anchoring junction",0.05444306,1620.933,2144,1.322695,0.07201155,1.47735e-37,8.509536e-36,521,327.328,435,1.328942,0.03687378,0.8349328,7.128402e-26,4.24754436413793e-24
"GO:1902494","catalytic complex",0.1045603,3113.073,3792,1.218089,0.1273637,5.131905e-36,2.86062317419355e-34,1344,844.393,1059,1.254155,0.08976859,0.7879464,3.638842e-39,3.143959488e-37
"GO:0005856","cytoskeleton",0.1744959,5195.267,6009,1.15663,0.2018272,1.958228e-34,1.05744312e-32,2069,1299.888,1498,1.152407,0.1269814,0.7240213,1.330388e-22,6.21327152432432e-21
"GO:0001726","ruffle",0.01589145,473.136,759,1.60419,0.0254929,2.155178e-34,1.12852957090909e-32,162,101.7795,140,1.375522,0.01186742,0.8641975,1.78926e-11,4.54682541176471e-10
"GO:0016604","nuclear body",0.06136004,1826.872,2347,1.284709,0.07882981,9.246223e-34,4.69925686588235e-32,721,452.9817,570,1.258329,0.04831737,0.7905687,7.176375e-22,3.17968615384615e-20
"GO:0000790","nuclear chromatin",0.02740496,815.928,1171,1.435176,0.03933094,1.257451e-32,6.20821522285714e-31,316,198.5329,242,1.218942,0.02051369,0.7658228,9.467078e-08,1.46063489142857e-06
"GO:0070062","extracellular exosome",0.200982,5983.837,6768,1.131047,0.2273201,3.180171e-29,1.52648208e-27,2727,1713.289,1835,1.07104,0.155548,0.6729006,8.347353e-08,1.31129327127273e-06
"GO:0035976","transcription factor AP-1 complex",0.0003156216,9.397003,61,6.491431,0.002048836,4.147786e-29,1.93712816432432e-27,5,3.141343,5,1.591676,0.0004238366,1,0.09785657,0.33026592375
"GO:0016607","nuclear speck",0.03273574,974.6412,1335,1.369735,0.04483928,5.107159e-29,2.32241335578947e-27,373,234.3442,305,1.301504,0.02585403,0.8176944,6.491166e-16,2.19935977411765e-14
"GO:0015629","actin cytoskeleton",0.04251556,1265.816,1668,1.317727,0.05602391,1.43716e-28,6.36772430769231e-27,459,288.3753,368,1.276115,0.03119437,0.8017429,2.839942e-16,9.814839552e-15
"GO:0043230","extracellular organelle",0.2029199,6041.533,6811,1.127363,0.2287643,4.763446e-28,2.057808672e-26,2748,1726.482,1845,1.068647,0.1563957,0.6713974,1.914729e-07,2.82790744615385e-06
"GO:1903561","extracellular vesicle",0.20283,6038.858,6808,1.127365,0.2286636,4.915678e-28,2.07177843512195e-26,2746,1725.226,1844,1.068846,0.1563109,0.6715222,1.790851e-07,2.66775045517241e-06
"GO:0044427","chromosomal part",0.06847687,2038.762,2529,1.240459,0.08494273,8.754494e-28,3.60184896e-26,852,535.2849,654,1.221779,0.05543782,0.7676056,3.835469e-19,1.57802153142857e-17
"GO:0035770","ribonucleoprotein granule",0.01426462,424.7004,652,1.5352,0.02189904,3.969342e-25,1.59512162232558e-23,195,122.5124,152,1.240691,0.01288463,0.7794872,3.793036e-06,4.68169014857143e-05
"GO:0005774","vacuolar membrane",0.02686356,799.8089,1100,1.375329,0.03694623,1.211741e-24,4.75883738181818e-23,396,248.7944,303,1.217873,0.0256845,0.7651515,2.782529e-09,5.34245568e-08
"GO:0005694","chromosome",0.07888571,2348.664,2831,1.205366,0.09508615,3.987611e-24,1.531242624e-22,975,612.5619,751,1.225999,0.06366025,0.7702564,1.375056e-22,6.25288623157895e-21
"GO:0044430","cytoskeletal part",0.1250627,3723.493,4296,1.153755,0.1442918,4.730935e-23,1.7771860173913e-21,1568,985.1252,1104,1.12067,0.09358311,0.7040816,2.74991e-11,6.78834925714286e-10
"GO:0044454","nuclear chromosome part",0.04106886,1222.743,1569,1.28318,0.05269875,1.611297e-22,5.92408769361702e-21,514,322.9301,386,1.195305,0.03272018,0.7509728,1.306436e-09,2.65590753882353e-08
"GO:0036464","cytoplasmic ribonucleoprotein granule",0.01348353,401.4451,608,1.514528,0.02042119,2.839646e-22,1.02227256e-20,184,115.6014,142,1.228359,0.01203696,0.7717391,2.02772e-05,0.000236750010810811
"GO:0005765","lysosomal membrane",0.02286849,680.8636,942,1.383537,0.0316394,5.625012e-22,1.98367770122449e-20,346,217.3809,264,1.214458,0.02237857,0.7630058,4.553869e-08,7.56642849230769e-07
"GO:0005730","nucleolus",0.07408358,2205.69,2635,1.194637,0.08850301,1.352013e-20,4.672556928e-19,930,584.2898,727,1.244246,0.06162584,0.7817204,4.506187e-25,2.43334098e-23
"GO:0032587","ruffle membrane",0.008170331,243.2553,398,1.636141,0.01336782,4.305138e-20,1.45868205176471e-18,88,55.28764,77,1.392716,0.006527083,0.875,2.117625e-07,3.07500504201681e-06
"GO:0015630","microtubule cytoskeleton",0.09715697,2892.655,3368,1.164328,0.1131226,5.319678e-20,1.76776992e-18,1113,699.263,870,1.244167,0.07374756,0.7816712,6.61544e-30,4.572592128e-28
"GO:1904813","ficolin-1-rich granule lumen",0.007135212,212.4367,353,1.661672,0.01185638,5.886783e-19,1.91931340075472e-17,124,77.90531,94,1.206593,0.007968127,0.7580645,0.001406817,0.0107565476814159
"GO:0000228","nuclear chromosome",0.04454939,1326.369,1649,1.243244,0.05538575,1.214095e-18,3.885104e-17,550,345.5477,412,1.19231,0.03492413,0.7490909,6.402268e-10,1.34916086634146e-08
"GO:0031982","vesicle",0.3205407,9543.458,10242,1.073196,0.344003,3.464201e-18,1.08838896872727e-16,4219,2650.665,2869,1.08237,0.2431974,0.680019,1.00175e-15,3.32889230769231e-14
"GO:0005667","transcription factor complex",0.03617669,1077.089,1366,1.268234,0.0458805,3.677312e-18,1.13471341714286e-16,315,197.9046,251,1.268288,0.0212766,0.7968254,5.323694e-11,1.24315449081081e-09
"GO:0090575","RNA polymerase II transcription factor complex",0.01237501,368.4412,543,1.473776,0.018238,7.014336e-18,2.12645133473684e-16,131,82.30319,104,1.263621,0.008815801,0.7938931,3.12575e-05,0.000348470709677419
"GO:0015934","large ribosomal subunit",0.005270969,156.9326,274,1.745973,0.009202969,1.475791e-17,4.39683939310345e-16,115,72.25089,90,1.245659,0.007629058,0.7826087,0.0002713151,0.00249378985531915
"GO:0031252","cell leading edge",0.04055343,1207.397,1501,1.24317,0.05041481,4.690582e-17,1.37378401627119e-15,366,229.9463,301,1.309001,0.02551496,0.8224044,2.127185e-16,7.50158302040816e-15
"GO:0005815","microtubule organizing center",0.05734741,1707.404,2047,1.198896,0.06875357,1.077702e-16,3.10378176e-15,671,421.5682,526,1.247722,0.04458761,0.7839046,7.622183e-19,3.0630540055814e-17
"GO:0031519","PcG protein complex",0.004132917,123.0493,224,1.820408,0.007523595,1.804633e-16,5.11214069508197e-15,46,28.90036,36,1.245659,0.003051623,0.7826087,0.01908234,0.0947536882758621
"GO:0097413","Lewy body",0.0005325881,15.85674,58,3.65775,0.001948074,2.998934e-16,8.35831927741935e-15,8,5.026149,8,1.591676,0.0006781385,1,0.02425379,0.115456058181818
"GO:1990037","Lewy body core",0.0001527109,4.546661,31,6.818191,0.001041212,3.631744e-16,9.96135497142857e-15,3,1.884806,3,1.591676,0.0002543019,1,0.2479677,0.564543064031621
"GO:0098636","protein complex involved in cell adhesion",0.003038739,90.47237,177,1.956398,0.005944984,5.226371e-16,1.41112017e-14,36,22.61767,28,1.23797,0.002373485,0.7777778,0.04239447,0.185462390278481
"GO:0043209","myelin sheath",0.01261525,375.5939,539,1.435061,0.01810365,9.157136e-16,2.43438938584615e-14,162,101.7795,133,1.306746,0.01127405,0.8209877,6.370365e-08,1.00990740550459e-06
"GO:0000932","P-body",0.006321519,188.2106,307,1.631151,0.01031136,1.032024e-15,2.70202647272727e-14,83,52.1463,66,1.26567,0.005594643,0.7951807,0.0007932146,0.00652702299428571
"GO:0098562","cytoplasmic side of membrane",0.01648438,490.7896,675,1.375335,0.02267155,1.163458e-15,3.00067973731343e-14,191,119.9993,155,1.291674,0.01313893,0.8115183,2.537488e-08,4.52039099381443e-07
"GO:0044798","nuclear transcription factor complex",0.01541941,459.082,636,1.385374,0.02136164,2.053129e-15,5.21736310588235e-14,156,98.00991,126,1.285584,0.01068068,0.8076923,8.366294e-07,1.15655648256e-05
"GO:0044391","ribosomal subunit",0.008738933,260.1843,396,1.521998,0.01330064,2.355555e-15,5.89912904347826e-14,185,116.2297,134,1.15289,0.01135882,0.7243243,0.00358799,0.0237549682758621
"GO:0005813","centrosome",0.04139786,1232.539,1510,1.225114,0.05071709,3.159989e-15,7.80065856e-14,513,322.3018,404,1.253484,0.03424599,0.7875244,2.46176e-15,7.73440232727273e-14
"GO:0032154","cleavage furrow",0.004206275,125.2334,222,1.772689,0.00745642,3.487663e-15,8.48828403380282e-14,52,32.66997,43,1.316193,0.003644994,0.8269231,0.00152733,0.0115755536842105
"GO:0008305","integrin complex",0.002880085,85.74877,167,1.94755,0.005609109,4.907402e-15,1.17777648e-13,33,20.73286,26,1.254048,0.00220395,0.7878788,0.03904034,0.174319657674419
"GO:1990234","transferase complex",0.06278453,1869.284,2196,1.174782,0.0737581,1.481052e-14,3.50583267945205e-13,765,480.6255,611,1.27126,0.05179283,0.7986928,1.781551e-25,1.026173376e-23
"GO:0030027","lamellipodium",0.01937032,576.7127,765,1.326484,0.02569442,2.508138e-14,5.85684116756757e-13,184,115.6014,154,1.332163,0.01305417,0.8369565,3.548841e-10,7.66549656e-09
"GO:0005739","mitochondrion",0.1204675,3586.678,4014,1.119141,0.1348201,3.778391e-14,8.705412864e-13,1706,1071.826,1261,1.176497,0.1068916,0.7391559,1.694818e-24,8.87468334545455e-23
"GO:0005757","mitochondrial permeability transition pore complex",0.0002029598,6.042721,32,5.295627,0.001074799,1.089925e-13,2.47814526315789e-12,4,2.513075,3,1.193757,0.0002543019,0.75,0.5245439,0.828156568469155
"GO:0098796","membrane protein complex",0.05100064,1518.442,1803,1.187401,0.06055822,1.646104e-13,3.69411391168831e-12,687,431.6205,507,1.174643,0.04297703,0.7379913,3.432208e-10,7.50741192911392e-09
"GO:0005762","mitochondrial large ribosomal subunit",0.001881872,56.02897,118,2.106053,0.003963322,3.585922e-13,7.94419643076923e-12,51,32.0417,40,1.248373,0.003390693,0.7843137,0.0128886,0.0700361660377358
"GO:0044437","vacuolar part",0.03868465,1151.758,1398,1.213797,0.0469553,4.095029e-13,8.89330104e-12,553,347.4326,406,1.168572,0.03441553,0.7341772,5.584397e-08,9.01854020186916e-07
"GO:0005761","mitochondrial ribosome",0.003166149,94.26577,172,1.824628,0.005777046,4.117269e-13,8.89330104e-12,85,53.40283,59,1.10481,0.005001272,0.6941176,0.1250307,0.404593725842697
"GO:0031248","protein acetyltransferase complex",0.006739925,200.6678,310,1.544842,0.01041212,4.371444e-13,9.3257472e-12,89,55.91591,79,1.412836,0.006696618,0.8876404,3.432266e-08,5.87223331485148e-07
"GO:0042641","actomyosin",0.006930155,206.3315,317,1.536363,0.01064723,4.506616e-13,9.49686883902439e-12,64,40.20919,55,1.367846,0.004662202,0.859375,3.891505e-05,0.000425602572151899
"GO:0031902","late endosome membrane",0.007826695,233.0242,350,1.50199,0.01175562,4.620574e-13,9.55387211294118e-12,124,77.90531,94,1.206593,0.007968127,0.7580645,0.001406817,0.0107565476814159
"GO:0009898","cytoplasmic side of plasma membrane",0.01523979,453.7342,613,1.351011,0.02058912,4.668324e-13,9.55387211294118e-12,172,108.0622,139,1.286296,0.01178266,0.8081395,2.155005e-07,3.1032072e-06
"GO:0012505","endomembrane system",0.3407814,10146.08,10733,1.057847,0.3604944,4.699532e-13,9.55387211294118e-12,4309,2707.21,3047,1.125513,0.258286,0.7071246,2.896525e-35,2.27508872727273e-33
"GO:0005666","DNA-directed RNA polymerase III complex",0.0005435719,16.18377,52,3.213096,0.001746549,1.214786e-12,2.44087233488372e-11,19,11.9371,17,1.424131,0.001441044,0.8947368,0.01050778,0.058572399483871
"GO:0000803","sex chromosome",0.001647588,49.05363,105,2.140515,0.003526685,2.672513e-12,5.30816375172414e-11,26,16.33498,21,1.285584,0.001780114,0.8076923,0.04095206,0.179607004263959
