"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0005488","binding",0.850433,25319.94,27288,1.077728,0.9165351,4.599634e-260,1.9419654748e-256,14398,9045.812,9567,1.057617,0.8109689,0.6644673,7.019101e-76,1.4817322211e-72
"GO:0005515","protein binding",0.7330151,21824.06,24348,1.115649,0.8177879,1.099754e-259,2.321580694e-256,11170,7017.761,7865,1.120728,0.6666949,0.7041182,3.549174e-149,1.4984612628e-145
"GO:0019899","enzyme binding",0.167684,4992.455,6200,1.241874,0.2082424,3.500533e-74,4.92641677533333e-71,1895,1190.569,1478,1.241423,0.1252861,0.7799472,1.709641e-50,2.40603476733333e-47
"GO:0044877","macromolecular complex binding",0.1214318,3615.389,4604,1.273445,0.1546368,1.651102e-64,1.742738161e-61,1380,867.0107,1054,1.215671,0.08934475,0.7637681,4.402047e-29,2.32318030425e-26
"GO:0003723","RNA binding",0.1168352,3478.533,4422,1.271226,0.1485238,7.213821e-61,6.0913504524e-58,1638,1029.104,1265,1.229225,0.1072307,0.7722833,4.586493e-39,4.8410433615e-36
"GO:1901363","heterocyclic compound binding",0.4422906,13168.32,14458,1.097938,0.4856078,3.533096e-51,2.48612188533333e-48,5925,3722.492,4037,1.084489,0.3422056,0.6813502,5.001641e-25,9.18127317478261e-23
"GO:0045296","cadherin binding",0.02695486,802.5271,1243,1.548857,0.04174924,1.409168e-48,8.49929613714286e-46,304,190.9937,257,1.345594,0.0217852,0.8453947,3.276479e-17,3.21704519488372e-15
"GO:0008134","transcription factor binding",0.06007044,1788.477,2417,1.351429,0.08118094,1.706416e-48,9.00561044e-46,531,333.6106,455,1.363865,0.03856913,0.8568738,1.857281e-32,1.30690673033333e-29
"GO:0097159","organic cyclic compound binding",0.4471765,13313.78,14566,1.094054,0.4892352,2.692142e-48,1.26291372488889e-45,6009,3775.266,4084,1.081778,0.3461897,0.6796472,5.273272e-24,7.95134085142857e-22
"GO:0032403","protein complex binding",0.06653735,1981.017,2602,1.313467,0.08739462,1.073293e-43,4.531443046e-41,783,491.9343,570,1.158691,0.04831737,0.7279693,1.082986e-09,6.82442819701493e-08
