"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0033554","cellular response to stress",0.1263306,2704.738,3560,1.316209,0.1662774,2.749325e-64,3.6178367675e-60,1590,891.2366,1192,1.337467,0.1132542,0.7496855,5.40372e-60,1.185125858e-56
"GO:0016032","viral process",0.04480791,959.3373,1434,1.494782,0.06697805,7.655718e-49,5.0370796581e-45,623,349.2078,458,1.31154,0.04351544,0.7351525,3.910789e-20,3.92840247717557e-18
"GO:0044764","multi-organism cellular process",0.04560495,976.402,1449,1.48402,0.06767865,8.682188e-48,3.80829706306667e-44,635,355.9341,463,1.300803,0.0439905,0.7291339,3.459899e-19,3.05562489536913e-17
"GO:0044419","interspecies interaction between organisms",0.04997941,1070.059,1560,1.457863,0.07286315,1.979688e-47,5.2953552988e-44,691,387.3236,499,1.288328,0.04741093,0.7221418,3.429256e-19,3.05562489536913e-17
"GO:0044403","symbiosis, encompassing mutualism through parasitism",0.04986429,1067.594,1557,1.458419,0.07272303,2.012066e-47,5.2953552988e-44,689,386.2025,498,1.289479,0.04731591,0.7227866,2.781048e-19,2.50656237205479e-17
"GO:0006139","nucleobase-containing compound metabolic process",0.3453542,7394.033,8395,1.135375,0.3921065,2.5025e-46,5.48839958333333e-43,4564,2558.241,2960,1.157045,0.2812352,0.6485539,6.104634e-44,3.82527994314286e-41
"GO:0009987","cellular process",0.8638668,18495.39,19183,1.037177,0.8959832,4.649819e-46,8.74099546014286e-43,14773,8280.653,8596,1.038082,0.8167221,0.5818723,9.347701e-30,1.92197496029688e-27
"GO:0090304","nucleic acid metabolic process",0.3108041,6654.316,7571,1.137758,0.3536198,4.327302e-41,7.11787087725e-38,4010,2247.71,2601,1.157178,0.2471259,0.6486284,1.501348e-37,4.70386626952381e-35
"GO:0034641","cellular nitrogen compound metabolic process",0.380459,8145.627,9101,1.117287,0.4250817,5.796503e-41,8.47513144188889e-38,5172,2899.041,3311,1.142102,0.3145843,0.6401779,1.497811e-42,8.21237289541667e-40
"GO:0006974","cellular response to DNA damage stimulus",0.05419966,1160.415,1620,1.396053,0.07566558,1.276699e-39,1.6800082141e-36,740,414.7894,564,1.359726,0.0535867,0.7621622,2.14561e-31,4.70568033166667e-29
"GO:0046483","heterocycle metabolic process",0.3564756,7632.143,8538,1.11869,0.3987856,6.69875e-38,8.01353193181818e-35,4738,2655.773,3041,1.145053,0.2889311,0.641832,1.528457e-39,5.746561618e-37
"GO:0044238","primary metabolic process",0.6121081,13105.23,14010,1.069039,0.6543671,1.111061e-37,1.21837097491667e-34,8934,5007.741,5553,1.108883,0.527601,0.6215581,2.219091e-58,4.171574067e-55
"GO:0044237","cellular metabolic process",0.6123062,13109.47,13997,1.067701,0.6537599,2.489631e-36,2.52008110223077e-33,8847,4958.975,5544,1.117973,0.5267458,0.6266531,5.351893e-67,1.760638999675e-63
"GO:0006996","organelle organization",0.2147065,4596.867,5358,1.165577,0.2502569,9.368443e-36,8.8056672455e-33,2824,1582.926,1981,1.25148,0.1882185,0.7014873,2.619225e-62,6.893276355e-59
"GO:0000956","nuclear-transcribed mRNA catabolic process",0.01091331,233.654,446,1.908805,0.02083139,1.35888e-35,1.192100128e-32,198,110.9842,153,1.378575,0.01453682,0.7727273,3.150645e-10,1.21939228102941e-08
"GO:0044260","cellular macromolecule metabolic process",0.5221029,11178.22,12078,1.080494,0.5641289,3.269378e-35,2.688859068875e-32,6978,3911.352,4490,1.147941,0.4266033,0.6434508,3.322987e-70,1.45757286443333e-66
"GO:0044265","cellular macromolecule catabolic process",0.06140191,1314.615,1764,1.341838,0.08239141,1.836918e-34,1.421882586e-31,854,478.6894,629,1.314005,0.05976247,0.736534,1.097476e-27,2.00578981722222e-25
"GO:0035967","cellular response to topologically incorrect protein",0.008152827,174.552,351,2.010862,0.01639421,2.808644e-32,2.05327479977778e-29,139,77.91314,112,1.437498,0.01064133,0.8057554,8.951312e-10,3.22713190706849e-08
"GO:0010608","posttranscriptional regulation of gene expression",0.03969186,849.8027,1205,1.417976,0.05628211,5.522031e-32,3.82444241731579e-29,557,312.2131,409,1.310003,0.03885986,0.7342908,5.898427e-18,4.4865549649133e-16
"GO:0006725","cellular aromatic compound metabolic process",0.3622131,7754.983,8583,1.106772,0.4008874,7.649939e-32,5.03327736505e-29,4773,2675.391,3057,1.142637,0.2904513,0.6404777,1.19418e-38,3.928553655e-36
"GO:0035966","response to topologically incorrect protein",0.01087519,232.8378,430,1.846779,0.02008407,1.941152e-31,1.21636281752381e-28,180,100.8947,145,1.437142,0.01377672,0.8055556,3.130896e-12,1.54129059264925e-10
"GO:0030968","endoplasmic reticulum unfolded protein response",0.006560078,140.4513,298,2.121732,0.01391873,2.837902e-31,1.69745238263636e-28,114,63.89998,93,1.455399,0.008836105,0.8157895,7.193267e-09,2.34297525873762e-07
"GO:0006402","mRNA catabolic process",0.01206864,258.3896,464,1.795738,0.02167212,3.230616e-31,1.84833373669565e-28,213,119.3921,162,1.356874,0.01539192,0.7605634,8.228163e-10,2.99100543969613e-08
"GO:0034660","ncRNA metabolic process",0.0305195,653.4224,960,1.469187,0.04483886,2.300488e-30,1.26133839966667e-27,555,311.092,413,1.327581,0.0392399,0.7441441,7.405995e-20,7.32748031616541e-18
"GO:0008152","metabolic process",0.6502981,13922.88,14703,1.056031,0.6867352,9.291874e-30,4.85374270038462e-27,9664,5416.925,5958,1.099886,0.5660808,0.6165149,2.370881e-57,3.899802884875e-54
"GO:0019058","viral life cycle",0.01971383,422.073,671,1.589772,0.0313405,9.59019e-30,4.85374270038462e-27,298,167.0368,220,1.317075,0.02090261,0.738255,1.204089e-10,4.89031084907407e-09
"GO:0006401","RNA catabolic process",0.01408922,301.6502,512,1.69733,0.02391406,7.682027e-29,3.74399234418518e-26,241,135.0868,179,1.325074,0.01700713,0.7427386,2.883708e-09,9.85628923948052e-08
"GO:1901360","organic cyclic compound metabolic process",0.3744601,8017.191,8806,1.09839,0.4113031,9.245132e-29,4.34488185671429e-26,4980,2791.42,3166,1.13419,0.3008076,0.635743,2.611105e-36,7.31053844574468e-34
"GO:1901988","negative regulation of cell cycle phase transition",0.01504093,322.0263,538,1.670671,0.02512844,1.063729e-28,4.82676203827586e-26,207,116.0289,164,1.413441,0.01558195,0.7922705,1.758972e-12,8.80087929581749e-11
"GO:0010948","negative regulation of cell cycle process",0.02417869,517.6657,783,1.512559,0.0365717,2.523399e-28,1.1068469147e-25,299,167.5973,233,1.390237,0.02213777,0.7792642,1.348505e-15,8.65608648536585e-14
"GO:0016070","RNA metabolic process",0.2811371,6019.146,6749,1.121255,0.3152265,2.925133e-28,1.24167177893548e-25,3493,1957.918,2236,1.142029,0.2124466,0.6401374,2.255707e-26,3.53367243011905e-24
"GO:0071704","organic substance metabolic process",0.6372781,13644.13,14408,1.055986,0.6729566,3.976981e-28,1.63540915559375e-25,9327,5228.028,5768,1.103284,0.5480285,0.6184196,4.059601e-57,5.93558772877778e-54
"GO:0009057","macromolecule catabolic process",0.07301334,1563.216,1995,1.276216,0.09318076,5.610797e-28,2.23734780978788e-25,998,559.4051,722,1.290657,0.06859857,0.7234469,8.693751e-28,1.61128266773239e-25
