"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0005622","intracellular",0.8286551,17741.51,19725,1.1118,0.9212985,0,0,14472,8111.935,8930,1.100847,0.8484561,0.6170536,9.726171e-180,4.201705872e-177
"GO:0044424","intracellular part",0.8161994,17474.83,19571,1.119954,0.9141056,0,0,14132,7921.356,8787,1.10928,0.8348694,0.6217804,6.060938e-191,3.491100288e-188
"GO:0043229","intracellular organelle",0.750962,16078.1,18048,1.122521,0.8429706,4.787152e-235,2.757399552e-232,12367,6932.027,7793,1.124202,0.7404276,0.6301447,5.865471e-157,2.0271067776e-154
"GO:0043226","organelle",0.791172,16938.99,18674,1.102427,0.8722092,9.61936e-210,4.15556352e-207,13296,7452.756,8222,1.103216,0.7811876,0.6183815,2.620864e-136,4.11713908363636e-134
"GO:0044446","intracellular organelle part",0.5859578,12545.36,14658,1.1684,0.6846333,5.601642e-195,1.9359274752e-192,8863,4967.943,5979,1.203516,0.568076,0.6746023,4.905613e-197,8.476899264e-194
"GO:0005623","cell",0.898121,19228.77,20391,1.060442,0.9524054,2.890731e-185,8.32530528e-183,16433,9211.127,9500,1.031361,0.9026128,0.578105,1.117259e-37,8.39401544347826e-36
"GO:0044464","cell part",0.8978193,19222.31,20386,1.060538,0.9521719,3.763567e-185,9.29063396571429e-183,16405,9195.432,9494,1.032469,0.9020428,0.578726,9.87411e-40,7.75566458181818e-38
"GO:0044422","organelle part",0.5980191,12803.59,14827,1.158035,0.6925269,4.89986e-181,1.05836976e-178,9078,5088.457,6087,1.196237,0.5783373,0.6705221,1.233327e-191,1.065594528e-188
"GO:0043227","membrane-bounded organelle",0.7563244,16192.91,17840,1.101717,0.8332555,8.915134e-165,1.711705728e-162,12319,6905.122,7688,1.113376,0.7304513,0.6240766,1.239129e-129,1.78434576e-127
"GO:0043231","intracellular membrane-bounded organelle",0.6843317,14651.54,16418,1.120565,0.7668379,2.713671e-157,4.689223488e-155,10646,5967.362,6863,1.15009,0.6520665,0.6446553,3.420936e-156,9.85229568e-154
"GO:0005654","nucleoplasm",0.2633195,5637.67,7389,1.310648,0.3451191,7.177279e-154,1.12748528290909e-151,3340,1872.157,2486,1.32788,0.2361995,0.7443114,5.591873e-129,7.43288964923077e-127
"GO:0044428","nuclear part",0.3324162,7117.031,8957,1.25853,0.4183559,1.16792e-151,1.6818048e-149,4296,2408.02,3128,1.298992,0.2971971,0.7281192,1.91119e-145,4.1281704e-143
"GO:0031981","nuclear lumen",0.3060869,6553.321,8347,1.273705,0.3898645,1.549833e-149,2.06008571076923e-147,3940,2208.473,2883,1.305427,0.2739192,0.7317259,2.551098e-136,4.11713908363636e-134
"GO:0070013","intracellular organelle lumen",0.3732567,7991.426,9742,1.219057,0.455021,3.978444e-132,4.91053659428571e-130,5058,2835.141,3578,1.262018,0.3399525,0.7073942,1.019864e-137,1.95813888e-135
"GO:0005737","cytoplasm",0.718849,15390.56,16862,1.095607,0.7875759,2.126788e-117,2.450059776e-115,11263,6313.206,7190,1.138882,0.6831354,0.6383734,6.849372e-153,1.69081640228571e-150
"GO:0044444","cytoplasmic part",0.6137674,13140.76,14679,1.117059,0.6856142,1.925168e-106,2.07918144e-104,9360,5246.525,6044,1.152001,0.5742518,0.6457265,2.087256e-122,2.57627026285714e-120
"GO:0005829","cytosol",0.3616374,7742.657,9285,1.199201,0.4336759,2.195672e-104,2.23183600941176e-102,4901,2747.139,3338,1.215082,0.3171496,0.6810855,4.451573e-89,4.80769884e-87
"GO:0005634","nucleus",0.5081718,10879.96,12340,1.134196,0.5763662,2.83961e-89,2.7260256e-87,7109,3984.781,4620,1.159411,0.4389549,0.6498804,1.250574e-83,1.27117168941176e-81
"GO:0043232","intracellular non-membrane-bounded organelle",0.3005229,6434.196,7508,1.16689,0.3506773,2.494967e-56,2.26910682947368e-54,4024,2255.557,2755,1.221428,0.2617577,0.6846421,1.730044e-73,1.66084224e-71
"GO:1990904","ribonucleoprotein complex",0.04995158,1069.463,1592,1.488597,0.07435778,2.570774e-53,2.221148736e-51,817,457.9499,598,1.30582,0.0568171,0.7319461,3.375556e-25,1.76756386909091e-23
"GO:0030529","intracellular ribonucleoprotein complex",0.04988798,1068.102,1583,1.482069,0.07393741,5.759683e-52,4.73939629714286e-50,814,456.2683,595,1.304057,0.05653207,0.7309582,7.859967e-25,3.99471264e-23
"GO:0044451","nucleoplasm part",0.08898179,1905.1,2523,1.32434,0.1178421,5.565949e-46,4.37179994181818e-44,1073,601.4446,823,1.368372,0.07819477,0.7670084,1.076668e-47,8.85943954285714e-46
"GO:1902494","catalytic complex",0.1045603,2238.635,2827,1.262823,0.1320411,4.017695e-37,3.01851172173913e-35,1344,753.3472,1002,1.330064,0.0952019,0.7455357,3.629565e-48,3.13594416e-46
"GO:0032991","macromolecular complex",0.3825065,8189.464,9085,1.109352,0.4243344,3.356242e-36,2.41649424e-34,5073,2843.549,3469,1.219954,0.3295962,0.6838163,1.831218e-97,2.109563136e-95
"GO:0043234","protein complex",0.2455514,5257.256,6047,1.15022,0.2824381,2.859974e-35,1.9768140288e-33,3181,1783.034,2230,1.250677,0.2118765,0.7010374,5.651128e-71,5.13955220210526e-69
"GO:0000785","chromatin",0.0400528,857.5305,1201,1.400533,0.05609528,6.481717e-30,4.30784883692308e-28,486,272.4157,355,1.303155,0.03372922,0.7304527,3.46203e-15,1.22089547755102e-13
"GO:0016604","nuclear body",0.06136004,1313.718,1708,1.300126,0.07977581,2.915088e-27,1.86565632e-25,721,404.1394,542,1.341121,0.05149644,0.7517337,1.412796e-27,7.8751983483871e-26
"GO:0016607","nuclear speck",0.03273574,700.8722,969,1.382563,0.04525922,1.054298e-22,6.5065248e-21,373,209.0763,292,1.39662,0.02774347,0.7828418,9.832806e-20,3.775797504e-18
"GO:0005694","chromosome",0.07888571,1688.943,2086,1.235092,0.09743111,1.125657e-22,6.70736308965517e-21,975,546.513,709,1.297316,0.06736342,0.7271795,2.272324e-28,1.308858624e-26
"GO:0044427","chromosomal part",0.06847687,1466.09,1834,1.250947,0.08566091,4.110207e-22,2.367479232e-20,852,477.5683,621,1.300338,0.05900238,0.7288732,2.381572e-25,1.28604888e-23
"GO:0031248","protein acetyltransferase complex",0.006739925,144.3018,268,1.857219,0.01251752,1.690251e-20,9.42178621935484e-19,89,49.88683,76,1.523448,0.007220903,0.8539326,2.951727e-09,5.66502582857143e-08
"GO:1904813","ficolin-1-rich granule lumen",0.007135212,152.7649,279,1.826336,0.01303129,2.496068e-20,1.34787672e-18,124,69.50525,92,1.323641,0.008741093,0.7419355,2.111589e-05,0.000240054328421053
"GO:0000790","nuclear chromatin",0.02740496,586.7403,817,1.392439,0.03815974,4.646391e-20,2.43301928727273e-18,316,177.1263,230,1.298509,0.02185273,0.7278481,4.449313e-10,9.04519160470588e-09
"GO:0005925","focal adhesion",0.03580865,766.6631,1026,1.338267,0.04792153,5.862247e-20,2.97940082823529e-18,393,220.2868,312,1.416336,0.02964371,0.7938931,8.665837e-23,4.04718009081081e-21
"GO:1990234","transferase complex",0.06278453,1344.217,1678,1.248311,0.07837459,6.20996e-20,3.06594596571429e-18,765,428.8025,583,1.3596,0.05539192,0.7620915,2.057511e-32,1.36745346461538e-30
"GO:0005924","cell-substrate adherens junction",0.03592902,769.2403,1027,1.335084,0.04796824,1.071902e-19,5.1451296e-18,396,221.9684,313,1.410111,0.02973872,0.790404,2.779714e-22,1.23162712615385e-20
"GO:0035770","ribonucleoprotein granule",0.01426462,305.4054,469,1.535664,0.02190565,1.305579e-18,6.09740678918919e-17,195,109.3026,144,1.317443,0.01368171,0.7384615,1.81994e-07,2.73465766956522e-06
"GO:0035976","transcription factor AP-1 complex",0.0003156216,6.757459,40,5.919385,0.001868286,2.581336e-18,1.17382858105263e-16,5,2.802631,5,1.784038,0.0004750594,1,0.05530929,0.207590138181818
"GO:0005774","vacuolar membrane",0.02686356,575.1489,787,1.368341,0.03675852,1.162341e-17,5.15006473846154e-16,396,221.9684,281,1.265946,0.02669834,0.709596,5.039793e-10,1.01264677953488e-08
"GO:0030055","cell-substrate junction",0.03684507,788.8529,1031,1.306961,0.04815507,2.448847e-17,1.057901904e-15,401,224.771,315,1.401426,0.02992874,0.7855362,1.272509e-21,5.36315988292683e-20
"GO:0005765","lysosomal membrane",0.02286849,489.6144,680,1.388848,0.03176086,1.070977e-16,4.51377623414634e-15,346,193.9421,243,1.252952,0.02308789,0.7023121,3.230003e-08,5.31566208e-07
"GO:0044454","nuclear chromosome part",0.04106886,879.2842,1125,1.27945,0.05254554,2.480075e-16,1.02037371428571e-14,514,288.1105,367,1.273817,0.03486936,0.7140078,2.791295e-13,8.31613406896552e-12
"GO:0036464","cytoplasmic ribonucleoprotein granule",0.01348353,288.6823,436,1.510311,0.02036432,2.680058e-16,1.0770093544186e-14,184,103.1368,134,1.299245,0.01273159,0.7282609,1.767527e-06,2.38616145e-05
"GO:0000123","histone acetyltransferase complex",0.006160971,131.9064,233,1.766404,0.01088277,1.004652e-15,3.9455424e-14,79,44.28157,68,1.535628,0.006460808,0.8607595,1.005784e-08,1.82946816e-07
"GO:0015934","large ribosomal subunit",0.005270969,112.8515,206,1.825409,0.009621672,2.032609e-15,7.80521856e-14,115,64.46051,87,1.349664,0.008266033,0.7565217,9.586328e-06,0.000115840383104895
"GO:0031967","organelle envelope",0.08228184,1761.654,2082,1.181844,0.09724428,4.435838e-15,1.66633218782609e-13,1163,651.8919,813,1.247139,0.07724466,0.6990542,1.055138e-23,5.0646624e-22
"GO:0044391","ribosomal subunit",0.008738933,187.1006,298,1.592726,0.01391873,3.844611e-14,1.41350804425532e-12,185,103.6973,130,1.253648,0.01235154,0.7027027,4.636167e-05,0.000478607142857143
