"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0005488","binding",0.850433,18207.77,19338,1.062074,0.9032228,2.132269e-116,9.002439718e-113,14398,8070.456,8620,1.068093,0.8190024,0.5986943,4.35506e-81,9.19353166e-78
"GO:0005515","protein binding",0.7330151,15693.85,17073,1.087878,0.7974311,7.624111e-107,1.6094498321e-103,11170,6261.077,7112,1.135907,0.6757245,0.6367055,1.468359e-143,6.199411698e-140
"GO:0003723","RNA binding",0.1168352,2501.441,3327,1.330034,0.1553947,8.475306e-64,1.1927580644e-60,1638,918.1419,1209,1.31679,0.1148694,0.7380952,1.605379e-54,1.6944775345e-51
"GO:0019899","enzyme binding",0.167684,3590.114,4276,1.191048,0.1997198,8.725209e-35,9.2094580995e-32,1895,1062.197,1389,1.307667,0.1319715,0.7329815,5.008388e-60,7.04847137866667e-57
"GO:0003676","nucleic acid binding",0.3103826,6645.291,7375,1.109808,0.3444652,6.909104e-27,5.087252458e-24,4032,2260.042,2551,1.12874,0.2423753,0.6326885,6.556024e-26,1.729970833e-23
"GO:0044877","macromolecular complex binding",0.1214318,2599.855,3124,1.201606,0.1459131,7.229634e-27,5.087252458e-24,1380,773.5261,973,1.257876,0.09244656,0.7050725,1.713005e-30,6.57482464545455e-28
"GO:0045296","cadherin binding",0.02695486,577.1036,846,1.465941,0.03951425,1.309983e-26,7.90106889428571e-24,304,170.4,242,1.420188,0.02299287,0.7960526,3.034593e-18,3.46271666108108e-16
"GO:0008134","transcription factor binding",0.06007044,1286.108,1668,1.296936,0.07790752,3.458745e-26,1.82535267375e-23,531,297.6394,424,1.424543,0.04028504,0.7984934,1.281412e-31,6.01124607111111e-29
"GO:1901363","heterocyclic compound binding",0.4422906,9469.441,10173,1.074298,0.4751518,2.374986e-22,1.11413232133333e-19,5925,3321.118,3730,1.123116,0.3543943,0.6295359,8.282859e-39,6.9940461396e-36
"GO:0097159","organic cyclic compound binding",0.4471765,9574.048,10248,1.070394,0.4786548,1.237922e-20,5.226506684e-18,6009,3368.202,3767,1.118401,0.3579097,0.626893,9.851839e-37,5.94206632257143e-34
"GO:0019900","kinase binding",0.06314593,1351.954,1670,1.235249,0.07800093,3.079874e-18,1.18211163890909e-15,649,363.7815,503,1.382698,0.04779097,0.7750385,3.200692e-31,1.3513321624e-28
"GO:0042826","histone deacetylase binding",0.01108661,237.3642,379,1.596702,0.01770201,1.039161e-17,3.656114785e-15,108,60.53683,91,1.503217,0.008646081,0.8425926,3.652577e-10,2.20302572771429e-08
"GO:0000988","transcription factor activity, protein binding",0.06707538,1436.084,1732,1.206058,0.08089678,2.287546e-15,7.42924554769231e-13,608,340.7999,468,1.37324,0.04446556,0.7697368,6.916787e-28,2.43355622616667e-25
"GO:0019901","protein kinase binding",0.05628666,1205.097,1475,1.223968,0.06889304,5.107544e-15,1.54028934057143e-12,567,317.8183,438,1.378146,0.0416152,0.7724868,9.502297e-27,2.67457986226667e-24
"GO:0003682","chromatin binding",0.05322244,1139.492,1400,1.228617,0.06539,9.250563e-15,2.590612075375e-12,503,281.9447,396,1.404531,0.0376247,0.7872763,3.071021e-27,9.97373127846154e-25
"GO:0000989","transcription factor activity, transcription factor binding",0.06635438,1420.647,1708,1.202269,0.07977581,9.817573e-15,2.590612075375e-12,600,336.3157,461,1.370736,0.04380048,0.7683333,3.60568e-27,1.08737006857143e-24
"GO:0070182","DNA polymerase binding",0.0005343057,11.43949,46,4.02116,0.002148529,1.220006e-14,3.02992078352941e-12,16,8.968419,15,1.672536,0.001425178,0.9375,0.001281435,0.0244866830045249
"GO:0043021","ribonucleoprotein complex binding",0.006421955,137.4941,233,1.694619,0.01088277,6.433866e-14,1.509099014e-11,115,64.46051,89,1.38069,0.008456057,0.773913,1.408036e-06,5.71608460769231e-05
"GO:0008565","protein transporter activity",0.006462278,138.3574,233,1.684045,0.01088277,1.181336e-13,2.6250529431579e-11,96,53.81051,79,1.468115,0.007505938,0.8229167,4.636216e-08,2.27605859906977e-06
"GO:0019843","rRNA binding",0.001981897,42.43242,98,2.309555,0.0045773,2.095703e-13,4.424029033e-11,60,33.63157,41,1.219093,0.003895487,0.6833333,0.03536972,0.340938259908676
"GO:0004861","cyclin-dependent protein serine/threonine kinase inhibitor activity",0.000616242,13.19374,47,3.562295,0.002195236,4.381542e-13,8.80898586857143e-11,12,6.726314,11,1.635368,0.001045131,0.9166667,0.009994247,0.134810577744409
"GO:0044389","ubiquitin-like protein ligase binding",0.02758412,590.576,767,1.298732,0.03582438,1.022848e-12,1.96293829818182e-10,315,176.5657,247,1.398912,0.02346793,0.784127,4.658782e-17,4.79740917170732e-15
"GO:0032182","ubiquitin-like protein binding",0.009102491,194.8843,300,1.539375,0.01401214,1.393668e-12,2.55828969391304e-10,121,67.82367,96,1.415435,0.00912114,0.7933884,6.172904e-08,2.96159098727273e-06
"GO:0043422","protein kinase B binding",0.0005042071,10.79507,41,3.798028,0.001914993,1.85518e-12,3.26357081666667e-10,12,6.726314,12,1.784038,0.001140143,1,0.0009592974,0.0193787254679426
"GO:0004376","glycolipid mannosyltransferase activity",0.0001029133,2.203374,19,8.623137,0.0008874358,3.344577e-12,5.6483216376e-10,4,2.242105,4,1.784038,0.0003800475,1,0.09869037,0.648876561705426
"GO:0043130","ubiquitin binding",0.007463158,159.7862,253,1.583366,0.01181691,5.296051e-12,8.59997204692308e-10,103,57.7342,83,1.437623,0.007885986,0.8058252,1.343122e-07,6.16376204782609e-06
"GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",0.002087314,44.6894,97,2.170537,0.004530593,8.167386e-12,1.27713717377778e-09,29,16.25526,24,1.476445,0.002280285,0.8275862,0.002350148,0.0411714724315353
"GO:0051082","unfolded protein binding",0.00485179,103.8768,179,1.723195,0.008360579,1.281482e-11,1.93229178714286e-09,106,59.41577,70,1.178138,0.006650831,0.6603774,0.0229933,0.257500563925729
"GO:1990381","ubiquitin-specific protease binding",0.0007635506,16.34762,50,3.05855,0.002335357,1.756772e-11,2.55761771862069e-09,16,8.968419,14,1.561033,0.001330166,0.875,0.0082695,0.117952125
"GO:0017069","snRNA binding",0.001411987,30.23064,73,2.414769,0.003409622,3.164643e-11,4.453707582e-09,38,21.29999,31,1.455399,0.002945368,0.8157895,0.0008640549,0.0177889563543689
