id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0033554	cellular response to stress	0.158094505032126	24045	1.29757426820884	0	0	138386	1870	1883	1.04931554006352	4.33791787379818e-31	1.51276543698954e-28	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0009056	catabolic process	0.202810710469692	30535	1.28449156382573	0	0	126857	2650	2715	1.03131386910509	2.97790325127688e-16	2.62142221158519e-14	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0002376	immune system process	0.20158202978476	30030	1.27094786722298	0	0	137241	2536	2677	1.00095763409013	0.432800215240856	0.833381000633005	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0006950	response to stress	0.302310196847129	44236	1.248381349273	0	0	134339	3869	4016	1.01793452334304	1.20082355215222e-08	4.73385528146269e-07	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0035556	intracellular signal transduction	0.296593937946586	41992	1.20789312078222	0	0	151149	3030	3072	1.04216440380547	2.98422603085846e-35	1.35289887108968e-32	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0006996	organelle organization	0.290705819418317	40975	1.20251209975734	0	0	139144	3517	3566	1.04209148592045	2.27093550688114e-41	1.58389017237626e-38	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0019538	protein metabolic process	0.329944219422949	45987	1.18910107941578	0	0	135986	4033	4144	1.02830818683832	7.01673693210956e-21	8.96066954414611e-19	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0009966	regulation of signal transduction	0.310858476995022	43113	1.18323156715525	0	0	155496	3063	3103	1.04298974754827	2.65130263225612e-37	1.26522952456138e-34	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.32202641406278	44622	1.18217495488428	0	0	153028	3408	3469	1.03803047617942	7.72765600282255e-32	2.919444040733e-29	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0010604	positive regulation of macromolecule metabolic process	0.29864681194813	41207	1.17716497847142	0	0	155666	3089	3143	1.03845658703944	2.69404712229077e-29	6.60187169130011e-27	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0048583	regulation of response to stimulus	0.374223686643255	51494	1.1739499297959	0	0	151139	3972	4057	1.03447273876988	1.20095232834005e-30	3.75483957277906e-28	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
GO:0051234	establishment of localization	0.383228837024379	51421	1.14473920140402	0	0	140227	4540	4615	1.03943889956673	6.67726210729881e-48	8.64896221812547e-45	Human_AdrenalGland_idr.optimal_peak	hg38	BP	GO:BP
