id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0070062	extracellular exosome	0.152193145689106	23561	1.32075676570663	0	0	114170	2016	2080	1.02409916250264	1.06114914593374e-07	1.62530438807572e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005739	mitochondrion	0.128328962161295	19741	1.31240744357175	0	0	122527	1777	1792	1.04776585321772	3.34859465908495e-27	2.532374710933e-25	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0043230	extracellular organelle	0.155125055653837	23811	1.30954342113094	0	0	115120	2045	2111	1.02357553537151	1.63241638735779e-07	2.43854793667028e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0065010	extracellular membrane-bounded organelle	0.155125055653837	23811	1.30954342113094	0	0	115120	2045	2111	1.02357553537151	1.63241638735779e-07	2.43854793667028e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:1903561	extracellular vesicle	0.155074990280424	23797	1.30919598989203	0	0	115156	2044	2110	1.02355987911006	1.67699627233998e-07	2.47459206040412e-06	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005829	cytosol	0.412649138679639	60448	1.24975594601251	0	0	132607	5370	5559	1.02068663905963	4.73598462364185e-16	2.04662192664523e-14	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0005856	cytoskeleton	0.207513219001465	30076	1.23651254602855	0	0	144336	2338	2458	1.00502634562573	0.140369066871921	0.473110225390042	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0097708	intracellular vesicle	0.20979319014954	30207	1.22840175150674	0	0	130684	2487	2559	1.02688147102579	2.2013356097603e-11	5.89018444120962e-10	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031410	cytoplasmic vesicle	0.208865728213508	30058	1.22777027313946	0	0	130740	2479	2551	1.02678824083841	2.82547455141317e-11	7.19158066443128e-10	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
GO:0031982	vesicle	0.307316867287539	43809	1.21618925153187	0	0	127586	3880	4001	1.02465577567182	2.54373508120574e-15	9.92877241373852e-14	Human_AdrenalGland_idr.optimal_peak	hg38	CC	GO:CC
