id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0019899	enzyme binding	0.183188991965488	27590	1.28492135200402	0	0	138185	2048	2085	1.03785984935748	1.82027364242866e-18	2.32198656512306e-16	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003824	catalytic activity	0.418937666839644	56410	1.14876424136048	0	0	131601	5350	5483	1.03098027021557	4.85002317944291e-35	3.29963243641432e-32	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0005515	protein binding	0.847663239621421	109758	1.10468143014939	0	0	140728	13906	14398	1.02050438221635	6.85590591835271e-90	1.39929039793579e-86	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0005488	binding	0.89763820193073	113842	1.08199538448243	0	0	140900	15457	16083	1.01548371499653	2.02109049506546e-86	2.0625228502143e-83	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003674	molecular_function	0.92198517564957	115498	1.06874659503042	0	0	140842	16558	17441	1.00311636203574	3.35285370866555e-11	1.80083537352273e-09	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0044877	protein-containing complex binding	0.10477167639394	16489	1.34268656550587	2.66795448754273e-322	9.07549184845786e-320	131334	1251	1277	1.03509743072059	6.71167032108796e-10	2.97793894029142e-08	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0036094	small molecule binding	0.494841538291708	64376	1.10989541778981	3.93825777717866e-304	1.14828344617452e-301	140260	6066	6236	1.02780592662972	4.16406642804645e-33	1.41647659660713e-30	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0043167	ion binding	0.483961223092276	62950	1.1097097127203	7.75968124261174e-290	1.97968867702132e-287	140992	5892	6053	1.02850612514131	1.71741921434226e-33	7.01050523294512e-31	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0030234	enzyme regulator activity	0.123412926471403	18695	1.29237645444421	1.39342448963481e-286	3.15997709260517e-284	139525	1338	1387	1.01928227146467	0.000609980734432585	0.0101217128372106	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0060090	molecular adaptor activity	0.129601810326322	19368	1.2749640137939	1.60835455211645e-269	3.28265164086966e-267	149984	1352	1386	1.03069051513699	2.91889447236984e-08	1.0097395962893e-06	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003723	RNA binding	0.120241335871489	17854	1.26679387901245	1.95366188450366e-233	3.6249308238836e-231	118573	1633	1668	1.03443916870164	3.3443528134364e-12	1.95023545492105e-10	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0030674	protein-macromolecule adaptor activity	0.117488992010695	17442	1.26655286817461	5.58060711512454e-227	9.491682601641e-225	147029	1217	1248	1.0303643194161	2.12549550578201e-07	6.1100511652128e-06	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0043168	anion binding	0.208401802022022	28898	1.18301577337955	7.46191579820578e-218	1.17152078031831e-215	134772	2387	2430	1.03791302866351	1.22440468853911e-21	2.77667774367591e-19	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.179010018992319	25152	1.19872456186184	1.82810720420771e-211	2.66511914556281e-209	130807	2089	2122	1.04017851368446	2.04233621144504e-21	4.16840820755932e-19	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0000166	nucleotide binding	0.178030356309171	24939	1.19511361107242	9.76843214873476e-203	1.32915800103784e-200	131235	2070	2103	1.04003005770087	4.77454286201589e-21	8.85894725579493e-19	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0098772	molecular function regulator activity	0.203771629317001	28144	1.17832833857718	2.32722822127196e-201	2.96867049976004e-199	143998	2200	2294	1.01331409915361	0.00186181515979147	0.0273378758354993	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0003676	nucleic acid binding	0.305925020972073	40643	1.1334307141441	9.46430394979039e-198	1.1362731977366e-195	142362	3850	3922	1.03721301658647	8.09511375929261e-35	4.13053179567905e-32	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:1901363	heterocyclic compound binding	0.19015642837502	26354	1.18238727831253	6.17922223230973e-193	7.0065514311912e-191	131410	2213	2248	1.04015946471073	1.09254710781133e-22	2.78736080880365e-20	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0035639	purine ribonucleoside triphosphate binding	0.154170923843177	21803	1.20652964816028	2.27152384591207e-190	2.44009482605607e-188	133538	1769	1796	1.04072579453783	1.12000374596277e-18	1.52395176367335e-16	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0008092	cytoskeletal protein binding	0.094685199389289	14152	1.27514608028072	1.63382447995781e-189	1.66731788179695e-187	134770	974	986	1.04375089310735	2.3494350565274e-12	1.41035204422718e-10	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0017076	purine nucleotide binding	0.166651316803027	23311	1.19337345457122	5.8423110979413e-184	5.67816997661818e-182	133644	1913	1941	1.04136805902203	6.67138836054564e-21	1.1346919703228e-18	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0019900	kinase binding	0.0753462199540495	11553	1.30814993108532	2.4237514714762e-183	2.24858034240133e-181	147948	741	754	1.03839282897435	1.97190443498689e-07	5.91861316442388e-06	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0097367	carbohydrate derivative binding	0.193830281132579	26640	1.17256469350796	1.73242088129537e-177	1.53733522553211e-175	140738	2167	2222	1.03045652804073	1.35136081951534e-12	8.35796191706304e-11	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0032553	ribonucleotide binding	0.161091815709873	22517	1.1925079132647	3.97859302564998e-175	3.38346181889651e-173	134575	1834	1861	1.04128059809063	6.0506988925019e-20	9.49959726122798e-18	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0032555	purine ribonucleotide binding	0.159849204205009	22319	1.19121038806655	2.84329637446303e-171	2.32126716011162e-169	134911	1817	1844	1.04113927269371	1.30417851902939e-19	1.90130596952785e-17	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0008289	lipid binding	0.079994113912	11977	1.27736271635732	4.01735598352675e-160	3.1536244470685e-158	145416	833	859	1.02462902883947	0.000588143641839961	0.00983935387701115	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0019901	protein kinase binding	0.0685402587134222	10449	1.30062832609466	4.41978300727109e-158	3.34102856216307e-156	149636	664	675	1.03939141337129	4.12985570548784e-07	1.10908361775009e-05	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0016787	hydrolase activity	0.185187455977874	25296	1.16537180187044	1.61099858024771e-154	1.17430289367342e-152	132662	2271	2337	1.02677016302835	2.38191026671345e-10	1.0803286343027e-08	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0042802	identical protein binding	0.195634786629075	26549	1.15778069787657	5.77052978714265e-151	4.06125906743385e-149	142977	2145	2208	1.02646240030431	1.32835201209919e-09	5.42233291338888e-08	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
GO:0008047	enzyme activator activity	0.0657632179775206	9969	1.2932805855897	2.35917611252453e-144	1.60502614855419e-142	150663	640	655	1.03241306579692	6.40072504614052e-05	0.00131958382011846	Human_AdrenalGland_idr.optimal_peak	hg38	MF	GO:MF
