id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0008150	biological_process	0.940496405371685	29239	1.05108193202655	0	0	85465	14402	19937	1.01268040013347	1.3398381013601e-31	6.4056692732551e-30	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009987	cellular process	0.899905502974567	28341	1.06475443549649	6.88376510827618e-306	3.19234606896308e-302	85484	13111	17840	1.03026838730533	1.19421260326987e-56	1.13023692809469e-54	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0008152	metabolic process	0.649777409110612	22136	1.1517699233388	4.02682166138078e-292	1.24495903031022e-288	83895	8874	10739	1.15841717753625	9.246925315747e-305	8.57652323035534e-301	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0044238	primary metabolic process	0.588504460344064	20271	1.16454589884239	3.91550298929252e-259	9.07907255642203e-256	82995	7888	9433	1.17226682399253	6.46379876445298e-287	2.99758667701507e-283	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0043170	macromolecule metabolic process	0.565937636785838	19239	1.14933097968908	4.08642220776453e-193	7.5803131954032e-190	86498	7246	8662	1.17270710696882	7.47645636852273e-251	2.31147109393494e-247	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009058	biosynthetic process	0.524581164004183	17803	1.14739167579269	7.30267529206066e-158	1.12887188889771e-154	86386	6531	7793	1.1748553917745	1.17928876317947e-218	2.18758065569791e-215	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0006950	response to stress	0.291409562153607	10662	1.23698967663057	7.3189270086657e-145	9.69757828648205e-142	83279	3375	4144	1.14173006455377	4.84605468195311e-62	5.22641362501339e-60	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0002376	immune system process	0.197088512633082	7615	1.30629056794265	1.39845093604993e-140	1.62132905398289e-137	88514	2181	2814	1.0865281417422	1.24126104058535e-15	2.62248203904992e-14	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048518	positive regulation of biological process	0.506690209300141	17062	1.13846221311274	1.67530027707864e-129	1.72649000776716e-126	90771	5451	6552	1.16630382541136	8.14605345899814e-154	5.81189583324675e-151	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0010467	gene expression	0.451219837925459	15388	1.15298906337412	2.49580386161475e-125	2.31485808164768e-122	90190	5337	6378	1.1730650472641	5.98284588968826e-161	5.54908956268586e-158	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009056	catabolic process	0.188466133704358	7224	1.2959122983981	1.68439835123763e-124	1.420254064339e-121	78395	2392	2813	1.19206750614747	2.36859372266774e-74	3.09418405320328e-72	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0035556	intracellular signal transduction	0.272492758907529	9912	1.2298085915276	3.608043819948e-124	2.78871720250148e-121	91119	2693	3076	1.22732457164828	1.80661520802937e-117	5.98441287659729e-115	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009059	macromolecule biosynthetic process	0.477780218958311	16165	1.1438754499794	5.74783746376425e-124	4.10086095972411e-121	89409	5674	6761	1.17648881415685	1.27701296386924e-181	1.4805369049859e-178	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048522	positive regulation of cellular process	0.486891140485729	16415	1.13983033333868	1.0957292510466e-121	7.25920628818374e-119	91734	5155	6158	1.17354133701987	2.28533203141415e-154	1.92695041739693e-151	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0030097	hemopoiesis	0.0970902599654915	4105	1.42944909128103	2.36978059505663e-116	1.46531433461001e-113	103454	941	1093	1.20692106770971	1.89621162527257e-32	9.25650674968584e-31	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048523	negative regulation of cellular process	0.440631073025675	14964	1.14816360119849	1.18074043855548e-112	6.84460472975128e-110	96905	4592	5419	1.18793351499591	4.60505480524687e-154	3.55932360988872e-151	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0033554	cellular response to stress	0.147893960522958	5806	1.32726544442717	1.38769424225863e-112	7.57109652761693e-110	84725	1764	1924	1.28529530138894	9.10129576026583e-117	2.91084545436088e-114	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0019538	protein metabolic process	0.273167403493626	9840	1.21786014770682	2.00744405755747e-112	1.03439131299142e-109	78399	3334	3933	1.18836829320459	1.54462325487258e-104	3.77010018130084e-102	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0046907	intracellular transport	0.103365722292429	4280	1.39990453581556	3.72496356708237e-109	1.81837037287837e-106	73794	1346	1436	1.31401410411422	9.49165073167163e-108	2.66772910715922e-105	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0009893	positive regulation of metabolic process	0.298027635116054	10586	1.20089918037922	9.66023708366518e-109	4.47993494754973e-106	96444	3106	3600	1.20950691996778	5.50618464971408e-118	1.89147639355919e-115	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
GO:0048519	negative regulation of biological process	0.455987967411471	15342	1.13752196422345	9.71261797749494e-104	4.28973960672693e-101	96148	4773	5669	1.18030537316473	8.5347736813497e-150	5.27733505963456e-147	Mouse_AdrenalGland_idr.optimal_peak	mm10	BP	GO:BP
