id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0005737	cytoplasm	0.698039425237801	24280	1.175979972463	0	0	82593	9877	11872	1.16630079765509	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043229	intracellular organelle	0.742652792524269	25638	1.16715764800222	0	0	83608	10875	13030	1.17002261650732	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043231	intracellular membrane-bounded organelle	0.704835151530828	24289	1.16507336856565	0	0	83621	9984	11841	1.18202210411177	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043227	membrane-bounded organelle	0.722914441631955	24810	1.16030204840169	0	0	84029	10405	12373	1.17889867188831	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005622	intracellular anatomical structure	0.796457859154531	27166	1.15317200229591	0	0	83656	12033	14597	1.15563241599451	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043226	organelle	0.768840611133848	25929	1.14019897923003	0	0	84468	11130	13397	1.16465424449355	0	0	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0110165	cellular anatomical structure	0.921714458068914	28930	1.06116576174174	0	0	84706	13970	19277	1.01593603651292	3.67720056757609e-31	8.32573713413455e-30	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005575	cellular_component	0.940730017833801	29347	1.05470232958649	0	0	85013	14575	20209	1.01105119388274	1.3722034946514e-31	3.16662344919553e-30	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005829	cytosol	0.311494690219941	11788	1.2794422104561	7.75926816400639e-220	1.03456908853418e-217	80315	3784	4348	1.22003137431196	1.1700344272066e-163	8.77525820404949e-162	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005634	nucleus	0.512508522919677	17680	1.16630560848279	9.88711857159742e-191	1.18645422859169e-188	88300	6385	7435	1.20389700921095	7.26748234081367e-281	1.24585411556806e-278	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043228	membraneless organelle	0.383536253233072	13654	1.20360691057364	1.01699162421632e-164	1.10944540823598e-162	84814	4722	5470	1.21017468307	2.48008527912958e-197	2.12578738211107e-195	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043232	intracellular membraneless organelle	0.383524493177181	13653	1.20355566370977	1.2497450595293e-164	1.2497450595293e-162	84818	4721	5469	1.21013963083175	3.24029336013589e-197	2.59223468810871e-195	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0140513	nuclear protein-containing complex	0.0876279977504741	3878	1.4962222601802	4.7556810420982e-136	4.38985942347526e-134	85527	1203	1270	1.32791816930312	1.44658476897498e-105	9.64389845983319e-104	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005654	nucleoplasm	0.295569870308634	10723	1.22655588443663	1.59737439601423e-135	1.36917805372648e-133	87144	3480	3881	1.25702816330557	1.05735837125354e-200	9.7602311192634e-199	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0070013	intracellular organelle lumen	0.365889749052611	12886	1.19069102519669	3.59770166467003e-134	2.87816133173603e-132	82796	4428	4992	1.24349041594835	2.75937431803623e-241	4.13906147705434e-239	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031974	membrane-enclosed lumen	0.366354508274422	12886	1.18918050841092	2.22577294582591e-132	1.57113384411241e-130	82796	4428	4993	1.24324136919972	8.30999170440556e-241	9.97199004528668e-239	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0043233	organelle lumen	0.366354508274422	12886	1.18918050841092	2.22577294582591e-132	1.57113384411241e-130	82796	4428	4993	1.24324136919972	8.30999170440556e-241	9.97199004528668e-239	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031981	nuclear lumen	0.33476505293679	11779	1.18959602054779	1.90611489040864e-115	1.27074326027243e-113	85277	3899	4400	1.2422527462562	1.85224155112654e-204	1.85224155112654e-202	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031090	organelle membrane	0.242801239858972	8886	1.23733302377725	5.97988702879695e-113	3.77677075502965e-111	77277	3076	3579	1.20485293396527	9.78139867213702e-112	6.90451670974378e-110	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005739	mitochondrion	0.121470314927169	4874	1.35658360093307	1.67638070684894e-105	1.00582842410936e-103	72011	1741	1920	1.27117970118153	9.41776512131863e-104	5.94806218188545e-102	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005856	cytoskeleton	0.190040083569771	6998	1.24497296536683	8.25995154268844e-88	4.71997231010768e-86	84923	2130	2528	1.1811687289496	1.34099017382387e-58	5.74710074495945e-57	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0032991	protein-containing complex	0.412116998648008	13854	1.13654294481733	2.26998087202652e-85	1.23817138474174e-83	87571	4953	5749	1.20777330454075	2.19794842322272e-205	2.39776191624297e-203	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0090575	RNA polymerase II transcription regulator complex	0.0222669366561966	1165	1.76887297620572	7.01145785239052e-73	3.65815192298636e-71	116801	241	250	1.35140786061049	3.63405985038055e-25	6.70903356993332e-24	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0015629	actin cytoskeleton	0.0480379140696746	2123	1.49415980331514	1.84447616834242e-71	9.22238084171211e-70	79878	475	547	1.21735064476546	1.99095983724675e-18	2.91359976182452e-17	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031967	organelle envelope	0.0902902863036352	3574	1.33827299191469	6.51942705508793e-69	3.12932498644221e-67	67668	1244	1353	1.28893789013461	3.30180822540042e-83	1.80098630476387e-81	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0012505	endomembrane system	0.332641886742861	11210	1.1393571253413	3.54431429793909e-63	1.63583736827958e-61	82106	3754	4564	1.15307628270949	2.03036317931642e-81	1.05931991964335e-79	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005768	endosome	0.0833998559613548	3277	1.32844119983927	6.27542110962774e-60	2.78907604872344e-58	82710	924	1047	1.23718514388482	2.21187558494042e-41	6.8057710305859e-40	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005815	microtubule organizing center	0.0749604655419312	2985	1.34630437094527	4.83858766502154e-59	2.07368042786637e-57	86388	913	975	1.31273047849493	9.38782468934758e-72	4.69391234467379e-70	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0001726	ruffle	0.0167110877675838	888	1.79655054772536	2.30767553891883e-58	9.54900223000894e-57	66930	183	197	1.30224971297534	3.39039170898621e-14	3.83817929319194e-13	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:1902494	catalytic complex	0.121944444422516	4521	1.2534403843316	7.06183293115941e-56	2.82473317246377e-54	73701	1627	1816	1.25597534891174	5.83255907986184e-86	3.3328909027782e-84	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0099080	supramolecular complex	0.142232048281387	5173	1.22963498058542	3.14471656469498e-55	1.21730963794644e-53	88494	1594	1934	1.15542365371209	2.27307252115659e-32	5.56670821507735e-31	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005740	mitochondrial envelope	0.0513727078494799	2145	1.41164675444282	7.93647208094506e-55	2.9761770303544e-53	59409	791	854	1.29845833828469	3.19992287501534e-56	1.32410601724772e-54	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0015630	microtubule cytoskeleton	0.11981578327779	4442	1.25341739731875	8.65603593902481e-55	3.14764943237266e-53	86071	1404	1542	1.27641571024935	4.55566452311728e-86	2.73339871387037e-84	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0097708	intracellular vesicle	0.174044443079713	6185	1.20146393185847	1.41256139803743e-54	4.9855108166027e-53	85056	1834	2245	1.14522914746447	4.90566823806906e-33	1.22641705951726e-31	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031410	cytoplasmic vesicle	0.173233461542469	6148	1.1998674465362	1.80056624892096e-53	6.17336999630045e-52	84932	1828	2237	1.14556467760986	4.60692480430265e-33	1.17623612024749e-31	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005813	centrosome	0.0588256201352729	2386	1.37130835027657	3.65221570958627e-52	1.21740523652876e-50	86417	731	772	1.32742344358872	1.91791474670488e-63	8.52406554091058e-62	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005925	focal adhesion	0.0180152388726783	908	1.70402914662878	1.54413225401462e-50	5.00799649950689e-49	81641	186	200	1.30374409789187	1.51308940214801e-14	1.81570728257761e-13	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031966	mitochondrial membrane	0.0492831651794096	2041	1.40015336272373	6.5570950939966e-50	2.07066160863051e-48	61056	743	805	1.29390484837195	3.83954574781948e-51	1.43982965543231e-49	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0098588	bounding membrane of organelle	0.145200073358726	5217	1.21474521311454	7.07354245840206e-50	2.17647460258525e-48	83277	1671	1918	1.2213418926398	2.16845874908002e-66	1.00082711496001e-64	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0032432	actin filament bundle	0.0102184411741595	590	1.95208425211443	3.07174837409056e-49	9.21524512227168e-48	97227	98	110	1.24894351508703	6.12479175244287e-06	3.22357460654888e-05	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005730	nucleolus	0.0758447903948242	2939	1.31010174774814	9.22139085557813e-49	2.69894366504726e-47	77865	973	1050	1.29907117997828	1.42737613527227e-69	6.85140544930689e-68	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031982	vesicle	0.183493604362064	6422	1.18326103956831	1.2244256291266e-48	3.49835894036172e-47	84234	1937	2379	1.14141765430336	2.58754692025866e-33	6.75012240067477e-32	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0030055	cell-substrate junction	0.0199450449698739	964	1.63407960450266	2.10448921003078e-46	5.87299314427193e-45	82657	193	213	1.27024388355359	4.5153245985613e-12	4.5153245985613e-11	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0000785	chromatin	0.0684931649189736	2662	1.31398985472824	7.08851894308117e-45	1.93323243902214e-43	102388	748	830	1.26337684314434	3.3486331519841e-41	1.00458994559523e-39	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0000323	lytic vacuole	0.038219531224637	1620	1.43304838474878	1.35660613372916e-44	3.53897252277172e-43	82982	512	605	1.18638048186374	5.50768564138363e-15	6.81363172129934e-14	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005764	lysosome	0.038219531224637	1620	1.43304838474878	1.35660613372916e-44	3.53897252277172e-43	82982	512	605	1.18638048186374	5.50768564138363e-15	6.81363172129934e-14	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0001725	stress fiber	0.00874214906402395	512	1.9800809654678	1.70670164706382e-44	4.26675411765955e-43	79469	90	100	1.26168783666955	5.28816627477629e-06	2.80787589811131e-05	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0097517	contractile actin filament bundle	0.00874214906402395	512	1.9800809654678	1.70670164706382e-44	4.26675411765955e-43	79469	90	100	1.26168783666955	5.28816627477629e-06	2.80787589811131e-05	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005773	vacuole	0.0451140842908629	1858	1.39240238470265	4.74070288135947e-44	1.16098846074109e-42	79914	611	716	1.19629309156594	2.2201647319938e-19	3.4599969849254e-18	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0042641	actomyosin	0.00980997913591582	551	1.89895516290067	7.36307369428111e-43	1.76713768662747e-41	76671	100	110	1.27443215825207	4.6644938464952e-07	2.84131604862652e-06	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0035770	ribonucleoprotein granule	0.0570166776489448	2243	1.33002119394664	9.74880687685703e-41	2.29383691220165e-39	83652	676	747	1.2686315299548	8.85958201814876e-39	2.47244149343686e-37	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005774	vacuolar membrane	0.0211871040374593	983	1.56860326290727	1.40236928276248e-40	3.23623680637496e-39	57286	348	387	1.26060111157336	2.55893238679177e-19	3.93681905660273e-18	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0030027	lamellipodium	0.0202242767038814	942	1.57474087196426	1.58724639938809e-39	3.5937654325768e-38	62003	201	224	1.25793281334613	1.66582374491303e-11	1.5376834568428e-10	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0140535	intracellular protein-containing complex	0.0642035305209206	2468	1.29962315484977	1.51081921467519e-38	3.35737603261153e-37	69528	885	984	1.26083303461218	8.7713402817876e-48	3.00731666804146e-46	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:1990904	ribonucleoprotein complex	0.042905825301325	1743	1.37344831973421	2.65487966576064e-38	5.79246472529593e-37	67831	659	707	1.30669854528561	1.22577025874046e-49	4.32624797202514e-48	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0019866	organelle inner membrane	0.0328180429373076	1385	1.42681704847263	2.3452722025484e-37	5.02558329117514e-36	54566	534	588	1.27313171727426	7.85734724780773e-32	1.84878758771947e-30	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005765	lysosomal membrane	0.01753993393831	830	1.5998576210686	4.01726342367468e-37	8.31157949725796e-36	56157	295	327	1.26468879312782	4.5773081210255e-17	6.38694156422163e-16	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0098852	lytic vacuole membrane	0.01753993393831	830	1.5998576210686	4.01726342367468e-37	8.31157949725796e-36	56157	295	327	1.26468879312782	4.5773081210255e-17	6.38694156422163e-16	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0016604	nuclear body	0.0727755782234497	2738	1.2719761683206	9.91597804123063e-37	2.01680909313165e-35	91888	827	899	1.28960059439589	3.31015214333483e-55	1.32406085733393e-53	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005938	cell cortex	0.0334129669222685	1400	1.41659006070933	2.09479567574271e-36	4.18959135148541e-35	79033	319	365	1.22520066939904	1.2317605398399e-13	1.34373877073443e-12	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0032587	ruffle membrane	0.00812511723158172	456	1.8974327933874	1.17960444399293e-35	2.32053333244511e-34	74034	93	102	1.27818048812928	8.41796866467095e-07	4.85652038346401e-06	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0030139	endocytic vesicle	0.0171633111135333	804	1.58374832756205	1.18096749323923e-34	2.28574353530173e-33	60865	216	253	1.1968580268802	9.46348321583813e-08	6.00856077196072e-07	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0045335	phagocytic vesicle	0.00800138489983766	445	1.88029522905517	5.36964057698558e-34	1.02278868133059e-32	53860	128	147	1.220680597836	4.37122437680795e-06	2.36282398746376e-05	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0048471	perinuclear region of cytoplasm	0.0763061898704608	2829	1.25344237856729	6.62171032354277e-34	1.24157068566427e-32	89648	771	869	1.24378125824348	1.81733937232406e-36	4.95638010633835e-35	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0030864	cortical actin cytoskeleton	0.00702907549004086	398	1.91432671432978	4.63329918827109e-32	8.55378311680816e-31	72753	82	93	1.23606215778857	8.6718928304746e-05	0.00038258350722682	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005743	mitochondrial inner membrane	0.0293152641150424	1228	1.4162363951061	5.49779411520811e-32	9.99598930037839e-31	52085	491	535	1.28658095078868	2.60840369049567e-32	6.2601688571896e-31	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0030863	cortical cytoskeleton	0.00918103578516415	484	1.78231670206321	1.15913280620709e-31	2.07605875738584e-30	65761	111	125	1.24486533218062	2.17733008473025e-06	1.22093275779267e-05	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0005769	early endosome	0.0385439652367445	1540	1.35081391354488	8.6024949957571e-31	1.51808735219243e-29	88276	397	452	1.23129319360327	1.7686897512321e-17	2.52669964461729e-16	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0032153	cell division site	0.0048502077640028	295	2.05633027158947	8.58476576382207e-29	1.49300274153427e-27	93343	64	70	1.2817146277278	3.71399398520194e-05	0.000174776187538915	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0010008	endosome membrane	0.0393803550668973	1551	1.33156804879559	1.97563676408874e-28	3.38680588129498e-27	79751	462	518	1.25032127958244	2.27631781707714e-23	4.01703144190083e-22	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
GO:0031252	cell leading edge	0.0483590706767729	1854	1.2961730245214	2.04715219657874e-28	3.45997554351336e-27	76444	421	484	1.21939986050937	9.29305891439509e-17	1.26723530650842e-15	Mouse_AdrenalGland_idr.optimal_peak	mm10	CC	GO:CC
