id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	sample	genome	ontology	ontology_input
GO:0003674	molecular_function	0.916699663912938	29200	1.07692875880308	0	0	85331	14337	19843	1.0128855131858	3.15010469075602e-30	1.35323247340394e-28	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0005488	binding	0.79906452473963	26097	1.10418013803555	4.82023141569818e-317	4.96965858958483e-314	85582	11063	14280	1.08606073273228	4.24814187021214e-174	4.37983426818872e-171	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0005515	protein binding	0.648113841462611	21467	1.11982782668736	3.13442517576953e-179	2.15439490414559e-176	86890	7881	9609	1.1497741516394	1.1439991750937e-222	2.35892629904321e-219	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0019899	enzyme binding	0.189357906655601	7347	1.3117702929109	2.53379146882297e-138	1.30616950217824e-135	91739	2108	2376	1.24375138407193	7.81959784423846e-103	2.30343010783139e-100	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0003824	catalytic activity	0.37445524798851	12915	1.16607285170338	1.91789745476133e-106	7.90940910343574e-104	78970	4646	5624	1.15809263655104	4.90219928908077e-113	3.36944497802818e-110	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0060090	molecular adaptor activity	0.113555404114876	4506	1.34157382284959	3.19215670029472e-90	1.09703785266795e-87	83802	1259	1428	1.23596715403592	4.8801763695153e-56	4.79186841616216e-54	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0044877	protein-containing complex binding	0.124568246412809	4841	1.31388975799679	1.99190375179865e-85	5.86757933744117e-83	82030	1381	1600	1.20999368225045	3.61508289679381e-49	2.57044859765132e-47	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0030674	protein-macromolecule adaptor activity	0.101997167931518	4034	1.33714645113879	3.46344402434701e-78	8.92702697275442e-76	82260	1126	1272	1.24096829497721	4.27152581041742e-52	3.26218008188175e-50	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0030234	enzyme regulator activity	0.109316230498155	4213	1.30298077174798	4.11188296347542e-69	9.42078074520702e-67	84216	1133	1376	1.15430581310287	1.14395913918755e-22	3.62899037693036e-21	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:1901265	nucleoside phosphate binding	0.160006683247128	5837	1.23333985499663	3.48662661570741e-65	7.18942408158868e-63	74898	1905	2184	1.22278964634488	2.78458554192068e-77	7.17726923430054e-75	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0000166	nucleotide binding	0.159099028649185	5787	1.22975090152473	6.85807857989924e-63	1.28557800288657e-60	75256	1883	2160	1.2220978376794	7.24353361125821e-76	1.49361663064144e-73	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0003676	nucleic acid binding	0.256068851062683	8840	1.16715008911827	5.0647788640912e-62	8.70297834813005e-60	95135	2973	3447	1.20910225910407	8.98344917406713e-112	4.6309680492316e-109	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0032555	purine ribonucleotide binding	0.141958334916308	5222	1.24367574979395	1.36354039927801e-61	2.16278484870097e-59	78190	1648	1888	1.22367087737254	8.98083065379408e-67	1.23456485387489e-64	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0032553	ribonucleotide binding	0.143517881498879	5264	1.24005532316303	1.2272022225324e-60	1.807493559187e-58	77865	1665	1906	1.22461830946415	4.67510943761843e-68	8.033396383641e-66	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0035639	purine ribonucleoside triphosphate binding	0.136060172273635	5021	1.24764318949464	1.69568437909027e-60	2.33100079312275e-58	76040	1606	1830	1.23027969987328	8.77867849986297e-69	1.6456031878834e-66	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0017076	purine nucleotide binding	0.148986487278788	5428	1.23175448892327	3.01775296915538e-59	3.88912913899899e-57	76902	1739	2000	1.21893063776019	8.62284522123202e-68	1.36771591124465e-65	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0019900	kinase binding	0.0823595097085354	3236	1.32839109549954	4.05698546352856e-59	4.92088472105641e-57	98434	811	901	1.26184342772106	3.93927085385127e-44	2.70759216688044e-42	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0008092	cytoskeletal protein binding	0.0905791916137279	3490	1.30265131405813	3.03968911659639e-56	3.48213275467875e-54	91383	903	1030	1.2290227794095	8.55370462089765e-38	4.52249716110024e-36	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:0043168	anion binding	0.189834237077418	6687	1.19093477667642	1.01995238886909e-54	1.10691675044635e-52	79690	2138	2520	1.18936886895921	5.28182257259903e-64	6.05062119149956e-62	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
GO:1901363	heterocyclic compound binding	0.17166000194693	6107	1.20279053606339	2.31303494484018e-54	2.38473902813023e-52	75410	2015	2324	1.21548144525203	6.1583798815108e-77	1.41095325729725e-74	Mouse_AdrenalGland_idr.optimal_peak	mm10	MF	GO:MF
