PeakID	Annotation
chr8:41041219-41042079:662	promoter
chr3:131139224-131140271:718	enhancer
chr2:27246982-27247781:676	promoter
chr19:40636936-40638140:332	enhancer
chr17:73852756-73853628:505	enhancer
chr2:131127047-131127751:314	promoter
chr6:86830709-86831522:641	enhancer
chr7:72162266-72162699:252	enhancer
chr3:53475971-53476201:112	enhancer
chr12:69761672-69762044:175	enhancer
chr6:88133857-88134243:237	promoter
chr14:62940368-62940980:191	enhancer
chr9:83556772-83557239:226	enhancer
chr5:75876934-75877884:150	enhancer
chr8:120004163-120004800:359	enhancer
chr4:55077058-55077980:267	enhancer
chr9:95150110-95150496:205	enhancer
chr4:132958832-132959727:725	enhancer
chr1:62747711-62748190:219	enhancer
chr11:82897354-82897977:193	enhancer
chr11:101981807-101982206:211	enhancer
chr11:85832065-85833552:69	promoter
chr7:46615560-46616091:226	enhancer
chr5:139382816-139383119:165	enhancer
chr11:114727226-114727541:169	promoter
chr8:104239558-104239859:168	enhancer
chr18:63864288-63864587:163	enhancer
chrX:48433546-48433924:178	enhancer
chr2:32078497-32078890:236	enhancer
chr6:134981185-134982148:250	promoter
chr10:86138890-86139811:326	enhancer
chr18:84535876-84536131:127	enhancer
chr4:32351893-32352310:172	enhancer
chr18:44584678-44585373:72	enhancer
chr10:96948960-96949325:157	enhancer
chr11:50099559-50100223:301	enhancer
chr4:117866094-117866480:173	enhancer
chrX:102017218-102018025:704	enhancer
chr17:50763412-50764069:162	enhancer
chr10:80695056-80695669:327	enhancer
chr6:49822487-49822802:123	promoter
chr4:36288879-36289582:139	enhancer
chr5:31254083-31254873:556	enhancer
chr8:104101371-104101809:224	promoter
chr6:58968279-58968709:214	enhancer
chr11:63003898-63004164:109	enhancer
chr8:36533430-36533911:357	enhancer
chr3:115708877-115709497:330	enhancer
chr2:167139820-167140112:160	enhancer
chr1:64078348-64079142:203	enhancer
chr10:75744088-75744365:133	enhancer
chr10:80587321-80587685:178	enhancer
chr3:122120153-122120700:342	enhancer
chr18:60750530-60750842:172	enhancer
chr18:67369656-67370356:169	enhancer
chr15:97593684-97594347:445	enhancer
chr3:27854556-27855087:351	enhancer
chr3:121493845-121494445:329	enhancer
chr16:90676744-90677640:109	enhancer
chr10:56842085-56842381:134	enhancer
chr10:54040393-54041201:152	enhancer
chr7:71963439-71963938:173	enhancer
chr18:5509957-5510536:412	enhancer
chr9:85568899-85569253:187	enhancer
chr6:126154263-126154823:241	enhancer
chr14:47514953-47515524:308	enhancer
chr2:160351174-160351538:246	enhancer
chr4:133174210-133174682:267	enhancer
chr12:58268563-58269499:391	promoter
chr10:24493427-24494349:673	enhancer
chr7:134261152-134261819:443	promoter
chrX:99319191-99319658:218	enhancer
chr4:102760015-102760461:267	promoter
chr6:126162317-126162714:71	enhancer
chr7:45215625-45216301:551	promoter
chr19:5921737-5922084:162	enhancer
chr6:8105911-8106301:143	enhancer
chr4:95031111-95031709:226	enhancer
chr5:38158983-38159736:540	promoter
chr15:79436450-79436961:388	enhancer
chr16:34376167-34376554:181	enhancer
chr17:47813139-47814204:282	enhancer
chr17:45766865-45767455:330	enhancer
chr17:85574539-85574969:240	enhancer
chr11:76953553-76953913:153	enhancer
chr7:45759105-45759814:531	promoter
chr5:105744957-105745689:569	enhancer
chr5:125150670-125151505:128	enhancer
chr6:50112823-50113114:146	enhancer
chr17:32166700-32167025:198	promoter
chr8:91081978-91082310:179	enhancer
chr12:40498808-40499238:294	enhancer
chr10:18430930-18431380:239	enhancer
chr10:68723531-68724754:982	promoter
chr2:33872818-33873466:162	enhancer
chr6:100127310-100128262:603	enhancer
chr11:96309248-96309681:308	enhancer
chr14:102883303-102883808:196	enhancer
chr2:84425081-84425609:197	promoter
chr19:47455044-47455378:144	enhancer
chr14:118635275-118636186:329	enhancer
chr17:85395527-85395770:121	enhancer
chr9:72449435-72449853:157	enhancer
chr10:20040220-20040472:125	enhancer
chr16:49982227-49982635:214	enhancer
chr6:17991612-17991954:139	enhancer
chr1:185248722-185249056:151	enhancer
chr15:79436450-79436961:267	enhancer
chr11:115808948-115809868:479	promoter
chr19:34420296-34421508:735	enhancer
chr7:92950680-92951272:367	enhancer
chr5:75814230-75814890:273	enhancer
chr18:37999351-37999754:195	promoter
chr7:100950292-100950995:395	enhancer
chr3:116388778-116389420:614	enhancer
chr2:115090518-115091259:148	enhancer
chr8:82027366-82027891:173	enhancer
chr16:90458808-90459363:373	enhancer
chr1:152461686-152462204:292	enhancer
chr6:31370475-31371514:501	enhancer
chr8:36193470-36193842:173	enhancer
chr15:7039142-7039606:127	enhancer
chr6:32587582-32588632:725	promoter
chr7:25129582-25130020:174	enhancer
chr8:68416655-68417090:208	enhancer
chr11:105447604-105448062:255	enhancer
chr12:55785287-55785620:181	enhancer
chr14:104027084-104027777:678	enhancer
chr6:39243009-39243978:534	enhancer
chr3:138753246-138753894:425	enhancer
chr3:88630877-88631368:210	enhancer
chr7:101482102-101483077:761	enhancer
chr11:88619613-88620333:103	enhancer
chr6:34731047-34731333:123	enhancer
chr4:95395737-95396195:218	enhancer
chr11:119338680-119339158:124	enhancer
chr6:139966023-139966397:201	enhancer
