PeakID (cmd=annotatePeaks.pl ./homer_results/mouse_specific_peaks_conservative/peaks_homer.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr2:93891275-93892407:867	chr11	44004908	44004908	+	-1	NA	Intergenic	Intergenic	-43073	NM_001031854	390110		NM_001031854	ENSG00000205126	ACCSL	-	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	protein-coding
chr8:41041219-41042079:662	chr8	17697645	17697645	+	-1	NA	promoter-TSS (NM_020749)	promoter-TSS (NM_020749)	92	NM_020749	57509		NM_020749	ENSG00000129422	MTUS1	ATBP|ATIP|ATIP3|ICIS|MP44|MTSG1	microtubule associated scaffold protein 1	protein-coding
chr3:131139224-131140271:718	chr4	108138913	108138913	+	-1	NA	intron (NM_016269, intron 3 of 11)	intron (NM_016269, intron 3 of 11)	27884	NM_001166119	51176		NM_016269	ENSG00000138795	LEF1	LEF-1|TCF10|TCF1ALPHA|TCF7L3	lymphoid enhancer binding factor 1	protein-coding
chr2:27246982-27247781:676	chr9	133738746	133738746	+	-1	NA	promoter-TSS (NM_001134707)	promoter-TSS (NM_001134707)	-394	NM_001134707	1757		NM_007101	ENSG00000123453	SARDH	BPR-2|DMGDHL1|SAR|SARD|SDH	sarcosine dehydrogenase	protein-coding
chr19:40636936-40638140:332	chr10	95729506	95729506	+	-1	NA	intron (NM_001098175, intron 1 of 9)	intron (NM_001098175, intron 1 of 9)	17742	NM_001098175	953		NM_001776	ENSG00000138185	ENTPD1	ATP-DPH|ATPDase|CD39|NTPDase-1|SPG64	ectonucleoside triphosphate diphosphohydrolase 1	protein-coding
chr13:110798286-110798711:182	chr5	57956827	57956827	+	-1	NA	Intergenic	Intergenic	-57665	NR_109900	101928539		NR_109900	ENSG00000249584	LINC02225	-	long intergenic non-protein coding RNA 2225	ncRNA
chr7:136839025-136839629:136	chr10	129410921	129410921	+	-1	NA	Intergenic	Intergenic	-56320	NM_002412	4255		NM_002412	ENSG00000170430	MGMT	-	O-6-methylguanine-DNA methyltransferase	protein-coding
chr2:158276408-158276984:208	chr20	38330601	38330601	+	-1	NA	intron (NM_001725, intron 11 of 14)	MLT1K|LTR|ERVL-MaLR	-15881	NM_004139	3929		NM_004139	ENSG00000129988	LBP	BPIFD2	lipopolysaccharide binding protein	protein-coding
chrX:167068046-167068414:213	chrX	13125208	13125208	+	-1	NA	Intergenic	Intergenic	-80588	NM_174901	171484		NM_174901	ENSG00000187268	FAM9C	TEX39C	family with sequence similarity 9 member C	protein-coding
chr15:37233825-37234853:671	chr8	101493950	101493950	+	-1	NA	intron (NM_001330593, intron 1 of 15)	CpG	1511	NM_001330593	79977		NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|PPCD4|TFCP2L3	grainyhead like transcription factor 2	protein-coding
